,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,YrSold,SaleType,SaleCondition,SalePrice,TotalSF,TotalPorchSF,TotalBath,SnMoSold,CsMoSold
10,20,RL,70.0,11200,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,,0.0,TA,TA,CBlock,TA,TA,No,Rec,906,Unf,0,134,GasA,Ex,Y,SBrkr,1040,0,0,3,1,TA,5,Typ,0,,Detchd,Unf,384,TA,TA,Y,0,0,,,,0,2008,WD,Normal,129500,2080,0,2.0,0.8660254037844386,0.5000000000000001
11,60,RL,85.0,11924,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,Stone,286.0,Ex,TA,PConc,Ex,TA,No,GLQ,998,Unf,0,177,GasA,Ex,Y,SBrkr,1182,1142,0,4,1,Ex,11,Typ,2,Gd,BuiltIn,Fin,736,TA,TA,Y,147,0,,,,0,2006,New,Partial,345000,3499,21,4.0,-0.4999999999999997,-0.8660254037844388
12,20,RL,,12968,Pave,,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,,0.0,TA,TA,CBlock,TA,TA,No,ALQ,737,Unf,0,175,GasA,TA,Y,SBrkr,912,0,0,2,1,TA,4,Typ,0,,Detchd,Unf,352,TA,TA,Y,140,0,,,,0,2008,WD,Normal,144000,1824,176,2.0,-1.0,-1.8369701987210287e-16
13,20,RL,91.0,10652,Pave,,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,Gd,TA,PConc,Gd,TA,Av,Unf,0,Unf,0,1494,GasA,Ex,Y,SBrkr,1494,0,0,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,840,TA,TA,Y,160,0,,,,0,2007,New,Partial,279500,2988,33,2.0,-0.8660254037844384,-0.5000000000000004
14,20,RL,,10920,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,TA,TA,CBlock,TA,TA,No,BLQ,733,Unf,0,520,GasA,TA,Y,SBrkr,1253,0,0,2,1,TA,5,Typ,1,Fa,Attchd,RFn,352,TA,TA,Y,0,0,,GdWo,,0,2008,WD,Normal,157000,2506,389,2.5,0.5,-0.8660254037844387
15,45,RM,51.0,6120,Pave,,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,832,GasA,Ex,Y,FuseA,854,0,0,2,1,TA,5,Typ,0,,Detchd,Unf,576,TA,TA,Y,48,0,,GdPrv,,0,2007,WD,Normal,132000,1686,112,1.0,-0.4999999999999997,-0.8660254037844388
16,20,RL,,11241,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,TA,TA,CBlock,TA,TA,No,ALQ,578,Unf,0,426,GasA,Ex,Y,SBrkr,1004,0,0,2,1,TA,5,Typ,1,TA,Attchd,Fin,480,TA,TA,Y,0,0,,,Shed,700,2010,WD,Normal,149000,2008,0,2.0,1.0,6.123233995736766e-17
17,90,RL,72.0,10791,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,TA,Slab,,,,,0,,0,0,GasA,TA,Y,SBrkr,1296,0,0,2,2,TA,6,Typ,0,,CarPort,Unf,516,TA,TA,Y,0,0,,,Shed,500,2006,WD,Normal,90000,1296,0,2.0,-0.8660254037844386,0.5000000000000001
18,20,RL,66.0,13695,Pave,,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,TA,PConc,TA,TA,No,GLQ,646,Unf,0,468,GasA,Ex,Y,SBrkr,1114,0,0,3,1,Gd,6,Typ,0,,Detchd,Unf,576,TA,TA,Y,0,0,,,,0,2008,WD,Normal,159000,2228,102,2.5,1.2246467991473532e-16,-1.0
19,20,RL,70.0,7560,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,,0.0,TA,TA,CBlock,TA,TA,No,LwQ,504,Unf,0,525,GasA,TA,Y,SBrkr,1339,0,0,3,1,TA,6,Min1,0,,Attchd,Unf,294,TA,TA,Y,0,0,,MnPrv,,0,2009,COD,Abnorml,139000,2368,0,1.0,0.5,-0.8660254037844387
20,60,RL,101.0,14215,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1158,GasA,Ex,Y,SBrkr,1158,1218,0,4,1,Gd,9,Typ,1,Gd,BuiltIn,RFn,853,TA,TA,Y,240,0,,,,0,2006,New,Partial,325300,3534,154,3.5,-0.5000000000000004,0.8660254037844384
21,45,RM,57.0,7449,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,TA,PConc,TA,TA,No,Unf,0,Unf,0,637,GasA,Ex,Y,FuseF,1108,0,0,3,1,Gd,6,Typ,1,Gd,Attchd,Unf,280,TA,TA,N,0,0,,GdPrv,,0,2007,WD,Normal,139400,1745,205,1.0,1.2246467991473532e-16,-1.0
22,20,RL,75.0,9742,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1777,GasA,Ex,Y,SBrkr,1795,0,0,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,534,TA,TA,Y,171,0,,,,0,2008,WD,Normal,230000,3572,159,2.0,-1.0,-1.8369701987210287e-16
23,120,RM,44.0,4224,Pave,,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,,0.0,TA,TA,PConc,Gd,TA,No,GLQ,840,Unf,0,200,GasA,TA,Y,SBrkr,1060,0,0,3,1,TA,6,Typ,1,TA,Attchd,Unf,572,TA,TA,Y,100,0,,,,0,2007,WD,Normal,129900,2100,110,2.0,1.2246467991473532e-16,-1.0
24,20,RL,,8246,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,,0.0,TA,Gd,CBlock,TA,TA,Mn,Rec,188,ALQ,668,204,GasA,Ex,Y,SBrkr,1060,0,0,3,1,Gd,6,Typ,1,TA,Attchd,Unf,270,TA,TA,Y,406,0,,MnPrv,,0,2010,WD,Normal,154000,2120,90,2.0,0.5,-0.8660254037844387
25,20,RL,110.0,14230,Pave,,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,640.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1566,GasA,Ex,Y,SBrkr,1600,0,0,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,890,TA,TA,Y,0,0,,,,0,2009,WD,Normal,256300,3166,56,2.0,-0.4999999999999997,-0.8660254037844388
26,20,RL,60.0,7200,Pave,,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,TA,CBlock,TA,TA,Mn,BLQ,234,Rec,486,180,GasA,TA,Y,SBrkr,900,0,0,3,1,Gd,5,Typ,0,,Detchd,Unf,576,TA,TA,Y,222,0,,,,0,2010,WD,Normal,134800,1800,32,1.5,0.5,-0.8660254037844387
27,20,RL,98.0,11478,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,Gd,TA,PConc,Ex,TA,No,GLQ,1218,Unf,0,486,GasA,Ex,Y,SBrkr,1704,0,0,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,772,TA,TA,Y,0,0,,,,0,2010,WD,Normal,306000,3408,50,3.0,0.5,-0.8660254037844387
28,20,RL,47.0,16321,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,TA,CBlock,TA,TA,Gd,BLQ,1277,Unf,0,207,GasA,TA,Y,SBrkr,1600,0,0,2,1,TA,6,Typ,2,Gd,Attchd,RFn,319,TA,TA,Y,288,0,,,,0,2006,WD,Normal,207500,3084,258,2.0,-2.4492935982947064e-16,1.0
29,30,RM,60.0,6324,Pave,,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,520,GasA,Fa,N,SBrkr,520,0,0,1,1,Fa,4,Typ,0,,Detchd,Unf,240,Fa,TA,Y,49,0,,,,0,2008,WD,Normal,68500,1040,87,1.0,0.5,-0.8660254037844387
30,70,C (all),50.0,8500,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,,0.0,TA,Fa,BrkTil,TA,TA,No,Unf,0,Unf,0,649,GasA,TA,N,SBrkr,649,668,0,3,1,TA,6,Typ,0,,Detchd,Unf,250,TA,Fa,N,0,0,,MnPrv,,0,2008,WD,Normal,40000,1966,226,1.0,-0.4999999999999997,-0.8660254037844388
31,20,RL,,8544,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,2006,Gable,CompShg,HdBoard,HdBoard,,0.0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,1228,GasA,Gd,Y,SBrkr,1228,0,0,3,1,Gd,6,Typ,0,,Attchd,Unf,271,TA,TA,Y,0,0,,MnPrv,,0,2008,WD,Normal,149350,2456,65,1.5,1.2246467991473532e-16,-1.0
32,20,RL,85.0,11049,Pave,,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,,0.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1234,GasA,Ex,Y,SBrkr,1234,0,0,3,1,Gd,7,Typ,0,,Attchd,RFn,484,TA,TA,Y,0,0,,,,0,2008,WD,Normal,179900,2468,30,2.0,0.5,0.8660254037844387
33,20,RL,70.0,10552,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,,0.0,TA,TA,CBlock,TA,TA,No,Rec,1018,Unf,0,380,GasA,Gd,Y,SBrkr,1700,0,0,4,1,Gd,6,Typ,1,Gd,Attchd,RFn,447,TA,TA,Y,0,0,,,,0,2010,WD,Normal,165500,3098,38,2.0,0.8660254037844387,-0.4999999999999998
34,120,RL,60.0,7313,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,246.0,Ex,TA,PConc,Ex,TA,No,GLQ,1153,Unf,0,408,GasA,Ex,Y,SBrkr,1561,0,0,2,1,Ex,6,Typ,1,Gd,Attchd,Fin,556,TA,TA,Y,203,0,,,,0,2007,WD,Normal,277500,3122,47,3.0,-0.8660254037844384,-0.5000000000000004
35,60,RL,108.0,13418,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,132.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1117,GasA,Ex,Y,SBrkr,1132,1320,0,4,1,Gd,9,Typ,1,Gd,BuiltIn,Fin,691,TA,TA,Y,113,0,,,,0,2006,WD,Normal,309000,3569,32,3.5,-1.0,-1.8369701987210287e-16
36,20,RL,112.0,10859,Pave,,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1097,GasA,Ex,Y,SBrkr,1097,0,0,3,1,TA,6,Typ,0,,Attchd,Unf,672,TA,TA,Y,392,0,,,,0,2009,WD,Normal,145000,2194,64,1.5,1.2246467991473532e-16,-1.0
37,20,RL,74.0,8532,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,650.0,TA,TA,CBlock,TA,TA,No,Rec,1213,Unf,0,84,GasA,Gd,Y,SBrkr,1297,0,0,3,1,TA,5,Typ,1,TA,Attchd,Fin,498,TA,TA,Y,0,0,,,,0,2009,WD,Normal,153000,2594,0,1.5,-0.8660254037844386,0.5000000000000001
38,20,RL,68.0,7922,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,731,Unf,0,326,GasA,TA,Y,SBrkr,1057,0,0,3,1,Gd,5,Typ,0,,Detchd,Unf,246,TA,TA,Y,0,0,,,,0,2010,WD,Abnorml,109000,2114,52,2.0,0.5,0.8660254037844387
39,90,RL,65.0,6040,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,5,1955,1955,Gable,CompShg,AsbShng,Plywood,,0.0,TA,TA,PConc,,,,,0,,0,0,GasA,TA,N,FuseP,1152,0,0,2,2,Fa,6,Typ,0,,,,0,,,N,0,0,,,,0,2008,WD,AdjLand,82000,1152,0,2.0,1.2246467991473532e-16,-1.0
40,20,RL,84.0,8658,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1965,1965,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101.0,TA,TA,CBlock,TA,TA,No,Rec,643,Unf,0,445,GasA,Ex,Y,SBrkr,1324,0,0,3,1,TA,6,Typ,1,TA,Attchd,RFn,440,TA,TA,Y,0,0,,GdWo,,0,2006,WD,Abnorml,160000,2412,138,2.0,-2.4492935982947064e-16,1.0
41,20,RL,115.0,16905,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,Gd,CBlock,TA,TA,Gd,BLQ,967,Unf,0,383,GasA,Gd,Y,SBrkr,1328,0,0,2,1,TA,5,Typ,2,Gd,Attchd,RFn,308,TA,TA,P,0,0,,,,0,2007,WD,Normal,170000,2678,104,2.0,-0.4999999999999997,-0.8660254037844388
42,85,RL,,9180,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,1983,1983,Gable,CompShg,HdBoard,HdBoard,,0.0,TA,TA,CBlock,Gd,TA,Av,ALQ,747,LwQ,93,0,GasA,Gd,Y,SBrkr,884,0,0,2,1,Gd,5,Typ,0,,Attchd,RFn,504,TA,Gd,Y,240,0,,MnPrv,,0,2007,WD,Normal,144000,1724,0,2.0,-2.4492935982947064e-16,1.0
43,20,RL,,9200,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,1975,1980,Hip,CompShg,VinylSd,VinylSd,,0.0,TA,TA,CBlock,Gd,TA,Av,LwQ,280,BLQ,491,167,GasA,TA,Y,SBrkr,938,0,0,3,1,TA,5,Typ,0,,Detchd,Unf,308,TA,TA,Y,145,0,,MnPrv,,0,2008,WD,Normal,130250,1876,0,2.0,-0.4999999999999997,-0.8660254037844388
44,20,RL,70.0,7945,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,BrkFace,Wd Sdng,,0.0,TA,TA,CBlock,TA,TA,No,ALQ,179,BLQ,506,465,GasA,Ex,Y,FuseA,1150,0,0,3,1,TA,6,Typ,0,,Attchd,RFn,300,TA,TA,Y,0,0,,,,0,2006,WD,Normal,141000,2300,0,2.0,0.5,-0.8660254037844387
45,120,RL,61.0,7658,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,412.0,Ex,TA,PConc,Ex,TA,No,GLQ,456,Unf,0,1296,GasA,Ex,Y,SBrkr,1752,0,0,2,1,Ex,6,Typ,1,Gd,Attchd,RFn,576,TA,TA,Y,196,0,,,,0,2010,WD,Normal,319900,3504,82,3.0,0.8660254037844386,0.5000000000000001
46,50,RL,48.0,12822,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,,0.0,Gd,TA,PConc,Ex,TA,No,GLQ,1351,Unf,0,83,GasA,Ex,Y,SBrkr,1518,631,0,1,1,Gd,6,Typ,1,Ex,Attchd,RFn,670,TA,TA,Y,168,0,,,,0,2009,WD,Abnorml,239686,3583,241,2.5,-0.8660254037844384,-0.5000000000000004
47,20,FV,84.0,11096,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,24,Unf,0,1632,GasA,Ex,Y,SBrkr,1656,0,0,3,1,Gd,7,Typ,0,,Attchd,RFn,826,TA,TA,Y,0,0,,,,0,2007,WD,Normal,249700,3312,146,2.0,-0.4999999999999997,-0.8660254037844388
48,190,RM,33.0,4456,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,2fmCon,2Story,4,5,1920,2008,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,736,GasA,Gd,Y,SBrkr,736,716,0,2,3,TA,8,Typ,0,,,,0,,,N,0,0,,,,0,2009,New,Partial,113000,2188,102,2.0,1.2246467991473532e-16,-1.0
49,20,RL,66.0,7742,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,7,1966,1966,Gable,CompShg,HdBoard,HdBoard,,0.0,TA,TA,CBlock,TA,TA,No,BLQ,763,Unf,0,192,GasA,Ex,Y,SBrkr,955,0,0,3,1,TA,6,Typ,0,,Attchd,Unf,386,TA,TA,Y,0,0,,MnPrv,,0,2007,WD,Normal,127000,1910,0,2.0,0.5,0.8660254037844387
50,60,RL,,13869,Pave,,IR2,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,6,1997,1997,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,TA,PConc,Gd,TA,Av,GLQ,182,Unf,0,612,GasA,Gd,Y,SBrkr,794,676,0,3,1,TA,6,Typ,0,,Attchd,Fin,388,TA,TA,Y,0,0,,,,0,2007,WD,Normal,177000,2264,75,2.5,-0.4999999999999997,-0.8660254037844388
51,50,RM,52.0,6240,Pave,,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,6,6,1934,1950,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,TA,PConc,TA,TA,No,Unf,0,Unf,0,816,GasA,TA,Y,SBrkr,816,0,360,3,1,TA,6,Typ,1,Gd,Detchd,Unf,528,TA,TA,Y,112,0,,MnPrv,Shed,400,2006,WD,Normal,114500,1992,0,1.0,-1.0,-1.8369701987210287e-16
