Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageFinish,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,SaleType,SaleCondition,SalePrice,Remodeled,Age,Isnew
11,20,RL,70.0,11200,Pave,3,Lvl,AllPub,Inside,2,2,Norm,Norm,1Fam,1Story,5,5,Hip,CompShg,HdBoard,HdBoard,0.0,1,2,CBlock,1.0,2.0,0.0,2.0,906,1.0,0,134,1040,GasA,4,1,SBrkr,0,0,1040,1,0,1,0,3,1,1,5,1,0,Detchd,0.0,384,2.0,2.0,2,0,0,0,0,0,0,0,2,WD,Normal,129500,0,43,0
12,60,RL,85.0,11924,Pave,2,Lvl,AllPub,Inside,2,2,Norm,Norm,1Fam,2Story,9,5,Hip,CompShg,WdShing,Wd Shng,286.0,3,2,PConc,3.0,2.0,0.0,5.0,998,1.0,0,177,1175,GasA,4,1,SBrkr,1142,0,2324,1,0,3,0,4,1,3,11,1,2,BuiltIn,2.0,736,2.0,2.0,2,147,21,0,0,0,0,0,7,New,Partial,345000,1,0,0
13,20,RL,,12968,Pave,1,Lvl,AllPub,Inside,2,2,Norm,Norm,1Fam,1Story,5,6,Hip,CompShg,HdBoard,Plywood,0.0,1,2,CBlock,1.0,2.0,0.0,4.0,737,1.0,0,175,912,GasA,2,1,SBrkr,0,0,912,1,0,1,0,2,1,1,4,1,0,Detchd,0.0,352,2.0,2.0,2,140,0,0,0,176,0,0,9,WD,Normal,144000,0,46,0
14,20,RL,91.0,10652,Pave,2,Lvl,AllPub,Inside,2,0,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,306.0,2,2,PConc,2.0,2.0,2.0,0.0,0,1.0,0,1494,1494,GasA,4,1,SBrkr,0,0,1494,0,0,2,0,3,1,2,7,1,1,Attchd,1.0,840,2.0,2.0,2,160,33,0,0,0,0,0,8,New,Partial,279500,1,0,0
15,20,RL,,10920,Pave,2,Lvl,AllPub,Corner,2,2,Norm,Norm,1Fam,1Story,6,5,Hip,CompShg,MetalSd,MetalSd,212.0,1,2,CBlock,1.0,2.0,0.0,3.0,733,1.0,0,520,1253,GasA,2,1,SBrkr,0,0,1253,1,0,1,1,2,1,1,5,1,1,Attchd,1.0,352,2.0,2.0,2,0,213,176,0,0,0,0,5,WD,Normal,157000,0,48,0
16,45,RM,51.0,6120,Pave,3,Lvl,AllPub,Corner,2,1,Norm,Norm,1Fam,1.5Unf,7,8,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,1,2,BrkTil,1.0,2.0,0.0,0.0,0,1.0,0,832,832,GasA,4,1,FuseA,0,0,854,0,0,1,0,2,1,1,5,1,0,Detchd,0.0,576,2.0,2.0,2,48,112,0,0,0,0,0,7,WD,Normal,132000,1,6,0
17,20,RL,,11241,Pave,2,Lvl,AllPub,CulDSac,2,2,Norm,Norm,1Fam,1Story,6,7,Gable,CompShg,Wd Sdng,Wd Sdng,180.0,1,2,CBlock,1.0,2.0,0.0,4.0,578,1.0,0,426,1004,GasA,4,1,SBrkr,0,0,1004,1,0,1,0,2,1,1,5,1,1,Attchd,2.0,480,2.0,2.0,2,0,0,0,0,0,0,700,3,WD,Normal,149000,0,40,0
18,90,RL,72.0,10791,Pave,3,Lvl,AllPub,Inside,2,2,Norm,Norm,Duplex,1Story,4,5,Gable,CompShg,MetalSd,MetalSd,0.0,1,2,Slab,,,,,0,,0,0,0,GasA,2,1,SBrkr,0,0,1296,0,0,2,0,2,2,1,6,1,0,CarPort,0.0,516,2.0,2.0,2,0,0,0,0,0,0,500,10,WD,Normal,90000,0,39,0
19,20,RL,66.0,13695,Pave,3,Lvl,AllPub,Inside,2,2,RRAe,Norm,1Fam,1Story,5,5,Gable,CompShg,VinylSd,VinylSd,0.0,1,2,PConc,1.0,2.0,0.0,5.0,646,1.0,0,468,1114,GasA,4,1,SBrkr,0,0,1114,1,0,1,1,3,1,2,6,1,0,Detchd,0.0,576,2.0,2.0,2,0,102,0,0,0,0,0,6,WD,Normal,159000,0,4,0
20,20,RL,70.0,7560,Pave,3,Lvl,AllPub,Inside,2,2,Norm,Norm,1Fam,1Story,5,6,Hip,CompShg,BrkFace,Plywood,0.0,1,2,CBlock,1.0,2.0,0.0,1.0,504,1.0,0,525,1029,GasA,2,1,SBrkr,0,0,1339,0,0,1,0,3,1,1,6,6,0,Attchd,0.0,294,2.0,2.0,2,0,0,0,0,0,0,0,5,COD,Abnorml,139000,1,44,0
21,60,RL,101.0,14215,Pave,2,Lvl,AllPub,Corner,2,2,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,VinylSd,VinylSd,380.0,2,2,PConc,3.0,2.0,2.0,0.0,0,1.0,0,1158,1158,GasA,4,1,SBrkr,1218,0,2376,0,0,3,1,4,1,2,9,1,1,BuiltIn,1.0,853,2.0,2.0,2,240,154,0,0,0,0,0,11,New,Partial,325300,1,0,0
22,45,RM,57.0,7449,Pave,3,Bnk,AllPub,Inside,2,2,Norm,Norm,1Fam,1.5Unf,7,7,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,1,2,PConc,1.0,2.0,0.0,0.0,0,1.0,0,637,637,GasA,4,1,FuseF,0,0,1108,0,0,1,0,3,1,2,6,1,1,Attchd,0.0,280,2.0,2.0,0,0,0,205,0,0,0,0,6,WD,Normal,139400,1,57,0
23,20,RL,75.0,9742,Pave,3,Lvl,AllPub,Inside,2,0,Norm,Norm,1Fam,1Story,8,5,Hip,CompShg,VinylSd,VinylSd,281.0,2,2,PConc,2.0,2.0,0.0,0.0,0,1.0,0,1777,1777,GasA,4,1,SBrkr,0,0,1795,0,0,2,0,3,1,2,7,1,1,Attchd,1.0,534,2.0,2.0,2,171,159,0,0,0,0,0,9,WD,Normal,230000,0,6,0
24,120,RM,44.0,4224,Pave,3,Lvl,AllPub,Inside,2,2,Norm,Norm,TwnhsE,1Story,5,7,Gable,CompShg,CemntBd,CmentBd,0.0,1,2,PConc,2.0,2.0,0.0,5.0,840,1.0,0,200,1040,GasA,2,1,SBrkr,0,0,1060,1,0,1,0,3,1,1,6,1,1,Attchd,0.0,572,2.0,2.0,2,100,110,0,0,0,0,0,6,WD,Normal,129900,0,31,0
25,20,RL,,8246,Pave,2,Lvl,AllPub,Inside,2,2,Norm,Norm,1Fam,1Story,5,8,Gable,CompShg,Plywood,Plywood,0.0,1,3,CBlock,1.0,2.0,1.0,2.0,188,4.0,668,204,1060,GasA,4,1,SBrkr,0,0,1060,1,0,1,0,3,1,2,6,1,1,Attchd,0.0,270,2.0,2.0,2,406,90,0,0,0,0,0,5,WD,Normal,154000,1,9,0
26,20,RL,110.0,14230,Pave,3,Lvl,AllPub,Corner,2,2,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,640.0,2,2,PConc,2.0,2.0,0.0,0.0,0,1.0,0,1566,1566,GasA,4,1,SBrkr,0,0,1600,0,0,2,0,3,1,2,7,1,1,Attchd,1.0,890,2.0,2.0,2,0,56,0,0,0,0,0,7,WD,Normal,256300,0,2,0
27,20,RL,60.0,7200,Pave,3,Lvl,AllPub,Corner,2,2,Norm,Norm,1Fam,1Story,5,7,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,1,2,CBlock,1.0,2.0,1.0,3.0,234,2.0,486,180,900,GasA,2,1,SBrkr,0,0,900,0,1,1,0,3,1,2,5,1,0,Detchd,0.0,576,2.0,2.0,2,222,32,0,0,0,0,0,5,WD,Normal,134800,1,10,0
28,20,RL,98.0,11478,Pave,3,Lvl,AllPub,Inside,2,2,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,200.0,2,2,PConc,3.0,2.0,0.0,5.0,1218,1.0,0,486,1704,GasA,4,1,SBrkr,0,0,1704,1,0,2,0,3,1,2,7,1,1,Attchd,1.0,772,2.0,2.0,2,0,50,0,0,0,0,0,5,WD,Normal,306000,1,2,0
29,20,RL,47.0,16321,Pave,2,Lvl,AllPub,CulDSac,2,2,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,MetalSd,MetalSd,0.0,1,2,CBlock,1.0,2.0,3.0,3.0,1277,1.0,0,207,1484,GasA,2,1,SBrkr,0,0,1600,1,0,1,0,2,1,1,6,1,2,Attchd,1.0,319,2.0,2.0,2,288,258,0,0,0,0,0,12,WD,Normal,207500,1,9,0
30,30,RM,60.0,6324,Pave,2,Lvl,AllPub,Inside,2,1,Feedr,RRNn,1Fam,1Story,4,6,Gable,CompShg,MetalSd,MetalSd,0.0,1,2,BrkTil,1.0,2.0,0.0,0.0,0,1.0,0,520,520,GasA,1,0,SBrkr,0,0,520,0,0,1,0,1,1,0,4,1,0,Detchd,0.0,240,1.0,2.0,2,49,0,87,0,0,0,0,5,WD,Normal,68500,1,58,0
31,70,C (all),50.0,8500,Pave,3,Lvl,AllPub,Inside,2,2,Feedr,Norm,1Fam,2Story,4,4,Gambrel,CompShg,BrkFace,BrkFace,0.0,1,1,BrkTil,1.0,2.0,0.0,0.0,0,1.0,0,649,649,GasA,2,0,SBrkr,668,0,1317,0,0,1,0,3,1,1,6,1,0,Detchd,0.0,250,2.0,1.0,0,0,54,172,0,0,0,0,7,WD,Normal,40000,1,58,0
32,20,RL,,8544,Pave,2,Lvl,AllPub,CulDSac,2,2,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,HdBoard,HdBoard,0.0,1,2,CBlock,1.0,2.0,0.0,0.0,0,1.0,0,1228,1228,GasA,3,1,SBrkr,0,0,1228,0,0,1,1,3,1,2,6,1,0,Attchd,0.0,271,2.0,2.0,2,0,65,0,0,0,0,0,6,WD,Normal,149350,1,2,0
33,20,RL,85.0,11049,Pave,3,Lvl,AllPub,Corner,2,0,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,0.0,2,2,PConc,3.0,2.0,2.0,0.0,0,1.0,0,1234,1234,GasA,4,1,SBrkr,0,0,1234,0,0,2,0,3,1,2,7,1,0,Attchd,1.0,484,2.0,2.0,2,0,30,0,0,0,0,0,1,WD,Normal,179900,0,1,0
34,20,RL,70.0,10552,Pave,2,Lvl,AllPub,Inside,2,2,Norm,Norm,1Fam,1Story,5,5,Hip,CompShg,BrkFace,BrkFace,0.0,1,2,CBlock,1.0,2.0,0.0,2.0,1018,1.0,0,380,1398,GasA,3,1,SBrkr,0,0,1700,0,1,1,1,4,1,2,6,1,1,Attchd,1.0,447,2.0,2.0,2,0,38,0,0,0,0,0,4,WD,Normal,165500,0,51,0
35,120,RL,60.0,7313,Pave,3,Lvl,AllPub,Inside,2,2,Norm,Norm,TwnhsE,1Story,9,5,Hip,CompShg,MetalSd,MetalSd,246.0,3,2,PConc,3.0,2.0,0.0,5.0,1153,1.0,0,408,1561,GasA,4,1,SBrkr,0,0,1561,1,0,2,0,2,1,3,6,1,1,Attchd,2.0,556,2.0,2.0,2,203,47,0,0,0,0,0,8,WD,Normal,277500,0,2,0
36,60,RL,108.0,13418,Pave,3,Lvl,AllPub,Inside,2,2,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,VinylSd,VinylSd,132.0,2,2,PConc,3.0,2.0,2.0,0.0,0,1.0,0,1117,1117,GasA,4,1,SBrkr,1320,0,2452,0,0,3,1,4,1,2,9,1,1,BuiltIn,2.0,691,2.0,2.0,2,113,32,0,0,0,0,0,9,WD,Normal,309000,1,1,0
37,20,RL,112.0,10859,Pave,3,Lvl,AllPub,Corner,2,0,Norm,Norm,1Fam,1Story,5,5,Gable,CompShg,VinylSd,VinylSd,0.0,1,2,PConc,2.0,2.0,0.0,0.0,0,1.0,0,1097,1097,GasA,4,1,SBrkr,0,0,1097,0,0,1,1,3,1,1,6,1,0,Attchd,0.0,672,2.0,2.0,2,392,64,0,0,0,0,0,6,WD,Normal,145000,1,14,0
38,20,RL,74.0,8532,Pave,3,Lvl,AllPub,Inside,2,2,Norm,Norm,1Fam,1Story,5,6,Hip,CompShg,Wd Sdng,Wd Sdng,650.0,1,2,CBlock,1.0,2.0,0.0,2.0,1213,1.0,0,84,1297,GasA,3,1,SBrkr,0,0,1297,0,1,1,0,3,1,1,5,1,1,Attchd,2.0,498,2.0,2.0,2,0,0,0,0,0,0,0,10,WD,Normal,153000,1,19,0
39,20,RL,68.0,7922,Pave,3,Lvl,AllPub,Inside,2,2,Norm,Norm,1Fam,1Story,5,7,Gable,CompShg,VinylSd,VinylSd,0.0,1,3,CBlock,1.0,2.0,0.0,5.0,731,1.0,0,326,1057,GasA,2,1,SBrkr,0,0,1057,1,0,1,0,3,1,2,5,1,0,Detchd,0.0,246,2.0,2.0,2,0,52,0,0,0,0,0,1,WD,Abnorml,109000,1,3,0
40,90,RL,65.0,6040,Pave,3,Lvl,AllPub,Inside,2,3,Norm,Norm,Duplex,1Story,4,5,Gable,CompShg,AsbShng,Plywood,0.0,1,2,PConc,,,,,0,,0,0,0,GasA,2,0,FuseP,0,0,1152,0,0,2,0,2,2,0,6,1,0,,,0,,,0,0,0,0,0,0,0,0,6,WD,AdjLand,82000,0,53,0
41,20,RL,84.0,8658,Pave,3,Lvl,AllPub,Inside,2,2,Norm,Norm,1Fam,1Story,6,5,Gable,CompShg,Wd Sdng,Wd Sdng,101.0,1,2,CBlock,1.0,2.0,0.0,2.0,643,1.0,0,445,1088,GasA,4,1,SBrkr,0,0,1324,0,0,2,0,3,1,1,6,1,1,Attchd,1.0,440,2.0,2.0,2,0,138,0,0,0,0,0,12,WD,Abnorml,160000,0,41,0
42,20,RL,115.0,16905,Pave,3,Lvl,AllPub,Inside,2,3,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,VinylSd,VinylSd,0.0,1,3,CBlock,1.0,2.0,3.0,3.0,967,1.0,0,383,1350,GasA,3,1,SBrkr,0,0,1328,0,1,1,1,2,1,1,5,1,2,Attchd,1.0,308,2.0,2.0,1,0,104,0,0,0,0,0,7,WD,Normal,170000,0,48,0
43,85,RL,,9180,Pave,2,Lvl,AllPub,CulDSac,2,2,Norm,Norm,1Fam,SFoyer,5,7,Gable,CompShg,HdBoard,HdBoard,0.0,1,2,CBlock,2.0,2.0,2.0,4.0,747,0.0,93,0,840,GasA,3,1,SBrkr,0,0,884,1,0,1,0,2,1,2,5,1,0,Attchd,1.0,504,2.0,3.0,2,240,0,0,0,0,0,0,12,WD,Normal,144000,0,24,0
44,20,RL,,9200,Pave,2,Lvl,AllPub,CulDSac,2,0,Norm,Norm,1Fam,1Story,5,6,Hip,CompShg,VinylSd,VinylSd,0.0,1,2,CBlock,2.0,2.0,2.0,1.0,280,3.0,491,167,938,GasA,2,1,SBrkr,0,0,938,1,0,1,0,3,1,1,5,1,0,Detchd,0.0,308,2.0,2.0,2,145,0,0,0,0,0,0,7,WD,Normal,130250,1,28,0
45,20,RL,70.0,7945,Pave,3,Lvl,AllPub,Inside,2,2,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,BrkFace,Wd Sdng,0.0,1,2,CBlock,1.0,2.0,0.0,4.0,179,3.0,506,465,1150,GasA,4,1,FuseA,0,0,1150,1,0,1,0,3,1,1,6,1,0,Attchd,1.0,300,2.0,2.0,2,0,0,0,0,0,0,0,5,WD,Normal,141000,0,47,0
46,120,RL,61.0,7658,Pave,3,Lvl,AllPub,Inside,2,2,Norm,Norm,TwnhsE,1Story,9,5,Hip,CompShg,MetalSd,MetalSd,412.0,3,2,PConc,3.0,2.0,0.0,5.0,456,1.0,0,1296,1752,GasA,4,1,SBrkr,0,0,1752,1,0,2,0,2,1,3,6,1,1,Attchd,1.0,576,2.0,2.0,2,196,82,0,0,0,0,0,2,WD,Normal,319900,0,5,0
47,50,RL,48.0,12822,Pave,2,Lvl,AllPub,CulDSac,2,1,Norm,Norm,1Fam,1.5Fin,7,5,Gable,CompShg,VinylSd,VinylSd,0.0,2,2,PConc,3.0,2.0,0.0,5.0,1351,1.0,0,83,1434,GasA,4,1,SBrkr,631,0,2149,1,0,1,1,1,1,2,6,1,1,Attchd,1.0,670,2.0,2.0,2,168,43,0,0,198,0,0,8,WD,Abnorml,239686,0,6,0
48,20,FV,84.0,11096,Pave,3,Lvl,AllPub,Inside,2,1,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,0.0,2,2,PConc,2.0,2.0,2.0,5.0,24,1.0,0,1632,1656,GasA,4,1,SBrkr,0,0,1656,0,0,2,0,3,1,2,7,1,0,Attchd,1.0,826,2.0,2.0,2,0,146,0,0,0,0,0,7,WD,Normal,249700,0,1,0
49,190,RM,33.0,4456,Pave,3,Lvl,AllPub,Inside,2,1,Norm,Norm,2fmCon,2Story,4,5,Gable,CompShg,MetalSd,MetalSd,0.0,1,2,BrkTil,1.0,2.0,0.0,0.0,0,1.0,0,736,736,GasA,3,1,SBrkr,716,0,1452,0,0,2,0,2,3,1,8,1,0,,,0,,,0,0,0,102,0,0,0,0,6,New,Partial,113000,1,1,0
50,20,RL,66.0,7742,Pave,3,Lvl,AllPub,Inside,2,2,Norm,Norm,1Fam,1Story,5,7,Gable,CompShg,HdBoard,HdBoard,0.0,1,2,CBlock,1.0,2.0,0.0,3.0,763,1.0,0,192,955,GasA,4,1,SBrkr,0,0,955,1,0,1,0,3,1,1,6,1,0,Attchd,0.0,386,2.0,2.0,2,0,0,0,0,0,0,0,1,WD,Normal,127000,0,41,0
51,60,RL,,13869,Pave,1,Lvl,AllPub,Corner,2,3,Norm,Norm,1Fam,2Story,6,6,Gable,CompShg,VinylSd,VinylSd,0.0,1,2,PConc,2.0,2.0,2.0,5.0,182,1.0,0,612,794,GasA,3,1,SBrkr,676,0,1470,0,1,2,0,3,1,1,6,1,0,Attchd,2.0,388,2.0,2.0,2,0,75,0,0,0,0,0,7,WD,Normal,177000,0,10,0
52,50,RM,52.0,6240,Pave,3,Lvl,AllPub,Inside,2,1,Norm,Norm,1Fam,1.5Fin,6,6,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,1,2,PConc,1.0,2.0,0.0,0.0,0,1.0,0,816,816,GasA,2,1,SBrkr,0,360,1176,0,0,1,0,3,1,1,6,1,1,Detchd,0.0,528,2.0,2.0,2,112,0,0,0,0,0,400,9,WD,Normal,114500,1,56,0
53,90,RM,110.0,8472,Grvl,1,Bnk,AllPub,Corner,1,2,RRNn,Norm,Duplex,1Story,5,5,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,0,2,CBlock,2.0,2.0,3.0,1.0,104,5.0,712,0,816,GasA,2,0,SBrkr,0,0,816,1,0,1,0,2,1,1,5,1,0,CarPort,0.0,516,2.0,2.0,2,106,0,0,0,0,0,0,5,WD,Normal,110000,0,47,0
54,20,RL,68.0,50271,Pave,2,Low,AllPub,Inside,2,0,Norm,Norm,1Fam,1Story,9,5,Gable,WdShngl,WdShing,Wd Shng,0.0,2,2,CBlock,3.0,2.0,3.0,5.0,1810,1.0,0,32,1842,GasA,3,1,SBrkr,0,0,1842,2,0,0,1,0,1,2,5,1,1,Attchd,2.0,894,2.0,2.0,2,857,72,0,0,0,0,0,11,WD,Normal,385000,1,19,0
55,80,RL,60.0,7134,Pave,3,Bnk,AllPub,Inside,1,2,Norm,Norm,1Fam,SLvl,5,5,Gable,CompShg,MetalSd,MetalSd,0.0,1,2,CBlock,1.0,2.0,0.0,4.0,384,1.0,0,0,384,GasA,2,1,SBrkr,0,0,1360,0,0,1,0,3,1,1,6,6,1,Detchd,0.0,572,2.0,2.0,2,0,50,0,0,0,0,0,2,WD,Normal,130000,0,52,0
56,20,RL,100.0,10175,Pave,2,Lvl,AllPub,Inside,2,2,Norm,Norm,1Fam,1Story,6,5,Gable,CompShg,HdBoard,Plywood,272.0,1,2,CBlock,1.0,2.0,0.0,3.0,490,1.0,0,935,1425,GasA,3,1,SBrkr,0,0,1425,0,0,2,0,3,1,1,7,1,1,Attchd,1.0,576,2.0,2.0,2,0,0,0,407,0,0,0,7,WD,Normal,180500,0,44,0
57,160,FV,24.0,2645,Pave,3,Lvl,AllPub,Inside,2,1,Norm,Norm,Twnhs,2Story,8,5,Gable,CompShg,MetalSd,MetalSd,456.0,2,2,PConc,2.0,2.0,0.0,5.0,649,1.0,0,321,970,GasA,4,1,SBrkr,756,0,1739,1,0,2,1,3,1,2,7,1,0,Attchd,2.0,480,2.0,2.0,2,115,0,0,0,0,0,0,8,WD,Abnorml,172500,1,9,0
58,60,RL,89.0,11645,Pave,2,Lvl,AllPub,Corner,2,0,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,0.0,2,2,PConc,2.0,2.0,0.0,0.0,0,1.0,0,860,860,GasA,4,1,SBrkr,860,0,1720,0,0,2,1,3,1,2,7,1,0,Attchd,1.0,565,2.0,2.0,2,0,70,0,0,0,0,0,8,WD,Normal,196500,0,2,0
59,60,RL,66.0,13682,Pave,1,HLS,AllPub,CulDSac,2,3,Norm,Norm,1Fam,2Story,10,5,Hip,CompShg,VinylSd,VinylSd,1031.0,3,2,PConc,3.0,2.0,3.0,0.0,0,1.0,0,1410,1410,GasA,4,1,SBrkr,1519,0,2945,0,0,3,1,3,1,2,10,1,1,BuiltIn,2.0,641,2.0,2.0,2,192,0,37,0,0,0,0,10,New,Partial,438780,0,0,1
60,20,RL,60.0,7200,Pave,3,Bnk,AllPub,Inside,2,0,Norm,Norm,1Fam,1Story,5,7,Gable,CompShg,HdBoard,HdBoard,0.0,1,2,CBlock,1.0,2.0,2.0,4.0,632,1.0,0,148,780,GasA,4,1,SBrkr,0,0,780,0,0,1,0,2,1,1,4,1,0,Detchd,0.0,352,2.0,2.0,2,196,0,0,0,0,0,0,1,WD,Normal,124900,0,36,0
