Id,LotArea,MasVnrArea,BsmtFinSF1,TotalBsmtSF,2ndFlrSF,GrLivArea,GarageArea,WoodDeckSF,SalePrice
37,10859,0.0,0,1097,0,1097,672,392,145000
38,8532,650.0,1213,1297,0,1297,498,0,153000
39,7922,0.0,731,1057,0,1057,246,0,109000
40,6040,0.0,0,0,0,1152,0,0,82000
41,8658,101.0,643,1088,0,1324,440,0,160000
42,16905,0.0,967,1350,0,1328,308,0,170000
43,9180,0.0,747,840,0,884,504,240,144000
44,9200,0.0,280,938,0,938,308,145,130250
45,7945,0.0,179,1150,0,1150,300,0,141000
46,7658,412.0,456,1752,0,1752,576,196,319900
47,12822,0.0,1351,1434,631,2149,670,168,239686
48,11096,0.0,24,1656,0,1656,826,0,249700
49,4456,0.0,0,736,716,1452,0,0,113000
50,7742,0.0,763,955,0,955,386,0,127000
51,13869,0.0,182,794,676,1470,388,0,177000
52,6240,0.0,0,816,0,1176,528,112,114500
53,8472,0.0,104,816,0,816,516,106,110000
54,50271,0.0,1810,1842,0,1842,894,857,385000
55,7134,0.0,384,384,0,1360,572,0,130000
56,10175,272.0,490,1425,0,1425,576,0,180500
57,2645,456.0,649,970,756,1739,480,115,172500
58,11645,0.0,0,860,860,1720,565,0,196500
59,13682,1031.0,0,1410,1519,2945,641,192,438780
60,7200,0.0,632,780,0,780,352,196,124900
61,13072,0.0,941,1158,0,1158,576,0,158000
62,7200,0.0,0,530,530,1111,288,0,101000
63,6442,178.0,24,1370,0,1370,484,120,202500
64,10300,0.0,0,576,808,1710,480,12,140000
65,9375,573.0,739,1057,977,2034,645,576,219500
66,9591,344.0,0,1143,1330,2473,852,192,317000
67,19900,287.0,912,1947,0,2207,576,301,180000
68,10665,167.0,1013,1453,0,1479,558,144,226000
69,4608,0.0,0,747,0,747,220,0,80000
70,15593,0.0,603,1304,983,2287,667,0,225000
71,13651,1115.0,1880,2223,0,2223,516,300,244000
72,7599,0.0,565,845,0,845,360,0,129500
73,10141,40.0,0,832,833,1718,427,0,185000
74,10200,104.0,320,1086,0,1086,490,0,144900
75,5790,0.0,0,840,765,1605,379,0,107400
76,1596,0.0,462,462,462,988,297,120,91000
77,8475,0.0,228,952,0,952,283,0,135750
78,8635,0.0,336,672,213,1285,240,0,127000
79,10778,0.0,0,1768,0,1768,0,0,136500
80,10440,0.0,0,440,548,1230,440,74,110000
81,13000,576.0,448,896,960,2142,509,0,193500
82,4500,443.0,1201,1237,0,1337,405,0,153500
83,10206,468.0,33,1563,0,1563,758,144,245000
84,8892,66.0,0,1065,0,1065,461,74,126500
85,8530,22.0,0,384,670,1474,400,120,168500
86,16059,284.0,0,1288,1116,2417,462,127,260000
87,11911,0.0,0,684,876,1560,400,100,174000
88,3951,76.0,0,612,612,1224,528,0,164500
89,8470,0.0,0,1013,0,1526,0,0,85000
90,8070,0.0,588,990,0,990,0,0,123600
91,7200,0.0,0,0,0,1040,420,0,109900
92,8500,203.0,600,1235,0,1235,480,0,98600
93,13360,0.0,713,876,0,964,432,0,163500
94,7200,0.0,1046,1214,1031,2291,506,0,133900
95,9337,0.0,648,824,881,1786,684,0,204750
96,9765,68.0,310,680,790,1470,420,232,185000
97,10264,183.0,1162,1588,0,1588,472,158,214000
98,10921,48.0,520,960,0,960,432,120,94750
99,10625,0.0,108,458,0,835,366,0,83000
100,9320,0.0,569,950,0,1225,0,352,128950
101,10603,28.0,1200,1610,0,1610,480,168,205000
102,9206,336.0,0,741,755,1732,476,192,178000
103,7018,0.0,0,0,0,1535,410,0,118964
104,10402,0.0,0,1226,0,1226,740,0,198900
105,7758,600.0,224,1040,592,1818,240,0,169500
106,9375,768.0,0,1053,939,1992,648,140,250000
107,10800,0.0,0,641,0,1047,273,0,100000
108,6000,0.0,104,789,0,789,250,0,115000
109,8500,0.0,0,793,520,1517,0,0,115000
110,11751,480.0,705,1844,0,1844,546,0,190000
111,9525,0.0,444,994,639,1855,325,182,136900
112,7750,0.0,250,384,656,1430,400,180,180000
113,9965,220.0,984,1264,1414,2696,792,120,383970
114,21000,184.0,35,1809,0,2259,450,166,217000
115,7259,0.0,774,1028,884,2320,180,224,259500
116,3230,1129.0,419,729,729,1458,440,0,176000
117,11616,116.0,170,1092,0,1092,288,0,139000
118,8536,0.0,0,1125,0,1125,430,80,155000
119,12376,0.0,1470,1673,1523,3222,594,367,320000
120,8461,0.0,0,728,728,1456,390,0,163990
121,21453,0.0,938,938,0,988,540,0,180000
122,6060,0.0,0,732,351,1123,264,0,100000
123,9464,135.0,570,1080,0,1080,288,0,136000
124,7892,0.0,300,1199,0,1199,530,0,153900
125,17043,0.0,0,1362,0,1586,435,192,181000
126,6780,0.0,490,520,0,754,0,53,84500
127,4928,0.0,120,1078,0,958,440,0,128000
128,4388,0.0,116,672,0,840,0,0,87000
129,7590,266.0,512,660,688,1348,453,188,155000
130,8973,85.0,567,1008,0,1053,750,0,150000
131,14200,309.0,445,924,941,2157,487,105,226000
132,12224,40.0,695,992,1032,2054,390,24,244000
133,7388,0.0,405,1063,0,1327,624,0,150750
134,6853,136.0,1005,1267,0,1296,471,192,220000
135,10335,0.0,570,1461,0,1721,440,0,180000
136,10400,288.0,0,1304,0,1682,530,98,174000
137,10355,196.0,695,1214,0,1214,318,0,143000
138,11070,70.0,0,1907,0,1959,766,0,171000
139,9066,320.0,668,1004,848,1852,660,224,230000
140,15426,0.0,821,928,836,1764,470,276,231500
141,10500,0.0,432,864,0,864,0,0,115000
142,11645,0.0,1300,1734,0,1734,660,160,260000
143,8520,0.0,507,910,475,1385,720,0,166000
144,10335,183.0,679,1490,0,1501,577,144,204000
145,9100,336.0,1332,1728,0,1728,504,0,125000
146,2522,50.0,0,970,739,1709,380,0,130000
147,6120,0.0,209,715,0,875,180,48,105000
148,9505,180.0,0,884,1151,2035,434,144,222500
149,7500,120.0,680,1080,0,1080,0,0,141000
150,6240,0.0,0,896,448,1344,240,200,115000
151,10356,0.0,716,969,0,969,440,0,122000
152,13891,436.0,1400,1710,0,1710,866,0,372402
153,14803,252.0,416,825,896,1993,495,0,190000
154,13500,0.0,429,1602,0,1252,564,409,235000
155,11340,0.0,0,1200,0,1200,312,0,125000
156,9600,0.0,0,572,524,1096,0,0,79000
157,7200,0.0,0,0,0,1040,625,0,109500
158,12003,84.0,0,774,1194,1968,680,0,269500
159,12552,0.0,222,991,956,1947,678,0,254900
160,19378,456.0,57,1392,1070,2462,576,239,320000
161,11120,0.0,660,1232,0,1232,516,0,162500
162,13688,664.0,1016,1572,1096,2668,726,400,412500
163,12182,226.0,1201,1541,0,1541,532,0,220000
164,5500,0.0,0,882,0,882,0,0,103200
165,5400,0.0,370,1149,467,1616,216,0,152000
166,10106,0.0,351,644,547,1355,0,140,127500
167,10708,0.0,379,1617,0,1867,303,476,190000
168,10562,300.0,1288,1582,551,2161,789,178,325624
169,8244,0.0,0,840,880,1720,440,100,183500
170,16669,653.0,0,1686,0,1707,511,574,228000
171,12358,0.0,360,720,0,1382,660,237,128500
172,31770,112.0,639,1080,0,1656,528,210,215000
173,5306,0.0,495,1064,703,1767,504,441,239000
174,10197,491.0,288,1362,0,1362,504,0,163000
175,12416,132.0,1398,1606,0,1651,616,192,184000
176,12615,0.0,477,1202,0,2158,576,0,243000
177,10029,268.0,831,1151,896,2060,521,0,211000
178,13650,0.0,57,1052,668,1920,451,0,172500
179,17423,748.0,1904,2216,0,2234,1166,0,501837
180,8520,0.0,0,968,0,968,480,0,100000
181,2117,456.0,436,756,756,1525,440,0,177000
182,7588,0.0,352,793,901,1802,216,0,200100
183,9060,98.0,0,0,0,1340,252,116,120000
184,11426,0.0,0,1362,720,2082,484,280,200000
185,7438,0.0,0,504,316,1252,576,104,127000
186,22950,0.0,0,1107,1518,3608,840,0,475000
187,9947,0.0,611,1188,0,1217,497,168,173000
188,10410,0.0,0,660,704,1656,180,0,135000
189,7018,275.0,1086,1086,0,1224,528,120,153337
190,4923,0.0,1153,1593,0,1593,682,0,286000
191,10570,0.0,297,853,1178,2727,440,0,315000
192,7472,138.0,626,725,754,1479,484,0,184000
193,9017,0.0,560,1431,0,1431,666,0,192000
194,2522,50.0,0,970,739,1709,380,0,130000
195,7180,0.0,390,864,0,864,352,0,127000
196,2280,0.0,566,855,601,1456,440,87,148500
197,9416,205.0,1126,1726,0,1726,786,171,311872
198,25419,0.0,1036,1360,1360,3112,795,0,235000
199,5520,0.0,0,755,929,2229,0,0,104000
200,9591,262.0,1088,1713,0,1713,856,0,274900
201,8546,0.0,0,1121,0,1121,440,132,140000
202,10125,0.0,641,1196,0,1279,473,238,171500
203,7000,0.0,617,617,445,1310,398,0,112000
204,4438,205.0,662,848,0,848,420,149,149000
205,3500,0.0,312,720,564,1284,240,0,110000
206,11851,0.0,0,1424,0,1442,500,0,180500
207,13673,0.0,0,1140,0,1696,349,0,143900
208,12493,0.0,419,1100,0,1100,312,355,141000
209,14364,128.0,1065,1157,882,2062,454,60,277000
210,8250,260.0,787,1092,0,1092,504,0,145000
211,5604,0.0,468,864,0,864,0,0,98000
212,10420,0.0,36,1212,0,1212,460,100,186000
213,8640,0.0,822,900,920,1852,644,168,252678
214,13568,0.0,716,990,0,990,576,224,156000
215,10900,153.0,378,689,703,1392,299,0,161750
216,10011,64.0,360,1070,0,1236,447,0,134450
217,8450,266.0,946,1436,0,1436,484,139,210000
218,9906,0.0,0,686,518,1328,210,0,107000
219,15660,312.0,341,798,817,1954,431,0,311500
220,3010,16.0,16,1248,0,1248,438,108,167240
221,8990,0.0,0,1498,0,1498,675,351,204900
222,8068,0.0,0,1010,1257,2267,390,120,200000
223,11475,0.0,550,713,741,1552,434,209,179900
224,10500,0.0,524,864,0,864,576,216,97000
225,13472,922.0,56,2392,0,2392,968,248,386250
226,1680,142.0,0,630,672,1302,280,0,112000
227,9950,290.0,565,1203,1306,2520,721,224,290000
228,1869,127.0,321,483,504,987,280,0,106000
229,8521,0.0,842,912,0,912,336,0,125000
230,3182,16.0,16,1373,0,1555,430,143,192500
231,8760,220.0,0,1194,0,1194,312,0,148000
232,15138,506.0,689,1462,1304,2794,810,0,403000
233,1680,297.0,0,483,504,987,288,0,94500
234,10650,0.0,182,894,0,894,308,365,128200
235,7851,103.68526170798899,625,860,1100,1960,440,288,216500
236,1680,604.0,358,483,504,987,264,0,89500
237,8773,98.0,24,1414,0,1414,494,132,185500
238,9453,0.0,402,996,730,1744,457,370,194500
239,12030,254.0,0,1694,0,1694,818,168,318000
240,8741,0.0,94,735,689,1487,220,0,113000
241,9000,36.0,1078,1566,0,1566,750,144,262500
242,3880,0.0,329,686,0,866,0,58,110500
243,5000,0.0,0,540,551,1440,352,0,79000
244,10762,0.0,0,626,591,1217,288,0,120000
245,8880,0.0,695,948,888,2110,463,0,205000
246,10400,102.0,929,1845,0,1872,604,197,241500
247,9142,0.0,0,1020,1020,1928,440,0,137000
248,11310,0.0,0,1367,0,1375,451,0,140000
249,11317,101.0,0,840,828,1668,500,144,180000
250,159000,472.0,697,1444,700,2144,389,0,277000
251,5350,0.0,0,728,0,1306,0,263,76500
252,4750,481.0,1573,1573,0,1625,538,123,235000
253,8366,0.0,0,798,842,1640,520,138,173000
254,9350,108.0,270,1302,0,1302,309,333,158000
255,8400,0.0,922,1314,0,1314,294,250,145000
256,8738,302.0,0,975,1286,2291,429,192,230000
257,8791,0.0,503,864,864,1728,673,216,207500
258,8814,180.0,1334,1604,0,1604,660,123,220000
259,12435,172.0,361,963,829,1792,564,0,231500
260,12702,0.0,0,0,0,882,308,0,97000
261,19296,399.0,672,1362,0,1382,884,0,176000
262,9588,270.0,0,1482,1092,2574,868,0,276000
263,8471,46.0,506,506,0,1212,492,292,151000
264,5500,0.0,234,926,0,1316,484,0,130000
265,5232,0.0,0,680,0,764,504,0,73000
266,12090,210.0,588,1422,0,1422,576,276,175500
267,11207,0.0,714,802,709,1511,413,95,185000
268,8400,0.0,378,720,720,2192,240,262,179500
269,6900,0.0,403,740,0,778,924,0,120500
270,7917,174.0,751,1143,0,1113,504,370,148000
271,10728,0.0,0,1095,844,1939,1053,192,266000
272,39104,0.0,226,1385,0,1363,439,81,241500
273,11764,348.0,524,1152,1106,2270,671,132,290000
274,9600,183.0,620,1240,0,1632,338,289,139000
275,8314,0.0,546,816,0,816,264,168,124500
276,7264,0.0,0,952,596,1548,672,74,205000
277,9196,0.0,0,1560,0,1560,573,100,201000
278,19138,0.0,120,864,0,864,400,0,141000
279,14450,315.0,0,2121,0,2121,732,124,415298
280,10005,299.0,392,1160,866,2022,505,288,192000
281,11287,340.0,421,807,807,1982,575,0,228500
282,7200,68.0,905,1262,0,1262,572,0,185000
283,5063,166.0,904,1314,0,1314,626,172,207500
284,9612,72.0,0,1468,0,1468,898,210,244600
285,8012,0.0,430,1575,0,1575,529,0,179200
286,4251,0.0,0,625,625,1250,528,0,164700
287,9786,0.0,600,912,649,1734,440,0,159000
288,8125,0.0,614,858,0,858,0,0,88000
289,9819,31.0,450,882,0,900,280,0,122000
290,8730,0.0,0,698,698,1396,384,0,153575
291,15611,0.0,0,1079,840,1919,685,0,233230
292,5687,0.0,210,780,780,1716,0,0,135900
293,11409,0.0,292,768,568,1716,281,0,131000
294,16659,34.0,795,795,795,2263,539,0,235000
295,9600,238.0,1285,1416,0,1644,418,110,167000
296,7937,0.0,819,1003,0,1003,588,120,142500
297,13710,0.0,420,910,648,1558,282,289,152000
298,7399,1600.0,649,975,975,1950,576,0,239000
299,11700,365.0,384,702,702,1743,539,224,175000
300,14000,0.0,0,1092,0,1152,300,0,158500
301,15750,56.0,841,1165,0,1336,375,0,157000
302,16226,0.0,281,1028,1242,2452,683,208,267000
303,13704,150.0,0,1541,0,1541,843,468,205000
304,9800,0.0,894,894,0,894,552,256,149900
305,18386,0.0,0,1470,1818,3493,870,302,295000
306,10386,246.0,1464,2000,0,2000,888,168,305900
307,13474,246.0,700,700,1121,2243,746,127,225000
308,7920,0.0,0,319,371,1406,0,0,89500
309,12342,0.0,262,861,0,861,539,158,82500
310,12378,0.0,1274,1896,0,1944,708,208,360000
311,7685,112.0,518,697,804,1501,420,190,165600
312,8000,0.0,680,972,0,972,240,0,132000
313,7800,0.0,507,793,325,1118,410,0,119900
314,215245,0.0,1236,2136,0,2036,513,0,375000
315,9600,0.0,16,728,809,1641,546,0,178000
316,7795,0.0,425,716,716,1432,432,100,188500
317,13005,278.0,692,845,1200,2353,484,288,260000
318,9000,0.0,0,1088,871,1959,1025,208,270000
319,9900,256.0,987,1347,1274,2646,656,340,260000
320,14115,225.0,1036,1372,0,1472,588,233,187500
321,16259,370.0,0,1249,1347,2596,840,240,342643
322,12099,388.0,970,1136,1332,2468,872,184,354000
323,10380,172.0,28,1502,1177,2730,576,201,301000
324,5820,0.0,256,1162,0,1163,220,142,126175
325,11275,300.0,0,710,1080,2978,564,240,242000
326,5000,0.0,116,720,0,803,360,0,87000
327,10846,0.0,1619,1719,0,1719,473,122,324000
328,11600,175.0,565,1383,0,1383,292,0,145250
329,11888,0.0,0,844,689,2134,441,0,214500
330,6402,0.0,0,596,596,1192,189,0,78000
331,10624,84.0,40,1728,0,1728,352,155,119000
332,8176,0.0,846,1056,0,1056,308,0,139000
333,10655,296.0,1124,3206,0,1629,880,0,284000
334,8198,146.0,720,1358,0,1358,484,192,207000
335,9042,0.0,828,943,695,1638,472,100,192000
336,164660,0.0,1249,1499,167,1786,529,670,228950
337,14157,200.0,1249,1922,0,1922,676,178,377426
338,9135,113.0,810,1536,0,1536,532,192,214000
339,14145,0.0,213,1208,0,1621,440,108,202500
340,12400,176.0,585,1215,0,1215,297,0,155000
341,14191,0.0,0,967,915,1908,431,135,202900
342,8400,0.0,0,721,0,841,294,250,82000
343,8544,340.0,0,0,0,1040,400,0,87500
344,8849,616.0,28,1684,0,1684,564,495,266000
345,2592,0.0,129,536,576,1112,336,182,85000
346,6435,0.0,0,972,605,1577,312,0,140200
347,12772,0.0,498,958,0,958,301,0,151500
348,17600,30.0,1270,1478,0,1478,498,0,157500
349,2448,106.0,573,764,862,1626,474,0,154000
350,20431,870.0,1410,1848,880,2728,706,0,437154
351,7820,362.0,0,1869,0,1869,617,210,318061
352,5271,0.0,1082,1453,0,1453,445,0,190000
353,9084,0.0,236,616,495,1111,200,48,95000
354,8520,0.0,0,624,0,720,484,106,105900
355,8400,0.0,388,940,403,1595,240,0,140000
356,11249,0.0,334,1200,0,1200,521,0,177500
357,9248,106.0,560,1158,0,1167,400,120,173000
358,4224,0.0,874,1142,0,1142,528,536,134000
359,6930,120.0,300,1062,0,1352,288,168,130000
360,12011,530.0,956,1086,838,1924,592,208,280000
361,7540,0.0,773,888,0,912,470,0,156000
362,9144,0.0,399,883,517,1505,240,0,145000
363,7301,500.0,0,0,1427,1922,672,0,198500
364,1680,510.0,162,483,504,987,264,250,118000
365,18800,120.0,712,796,784,1574,566,306,190000
366,10690,0.0,456,672,672,1344,468,0,147000
367,9500,247.0,609,1394,0,1394,514,0,159000
368,9150,305.0,371,1099,0,1431,296,64,165000
369,7800,200.0,540,1268,0,1268,244,0,132000
370,9830,0.0,72,1063,0,1287,576,364,162000
371,8121,0.0,0,953,711,1664,460,100,172400
372,17120,0.0,0,0,468,1588,680,0,134432
373,7175,0.0,623,744,0,752,264,353,125000
374,10634,0.0,428,608,0,1319,270,66,123000
375,8200,0.0,0,847,1081,1928,434,100,219500
376,10020,0.0,350,683,0,904,0,0,61000
377,8846,0.0,298,870,0,914,576,0,148000
378,11143,0.0,0,1580,886,2466,610,159,340000
379,11394,350.0,1445,1856,0,1856,834,113,394432
380,8123,16.0,0,982,793,1800,463,100,179000
381,5000,0.0,218,1026,665,1691,308,0,127000
382,7200,0.0,0,1293,0,1301,572,216,187750
383,9245,0.0,0,939,858,1797,639,144,213500
384,9000,0.0,0,784,0,784,360,0,76000
385,53107,0.0,985,1580,874,1953,501,216,240000
386,3182,16.0,24,1256,0,1269,430,146,192000
387,8410,0.0,0,658,526,1184,0,0,81000
388,7200,255.0,631,1041,0,1125,352,296,125000
389,9382,125.0,0,1468,0,1479,577,120,191000
390,12474,272.0,1280,1682,590,2332,846,196,426000
391,8405,0.0,241,861,406,1367,384,0,119000
392,12209,0.0,690,804,1157,1961,560,125,215000
393,8339,0.0,0,0,0,882,294,0,106500
394,7446,0.0,266,788,0,788,0,0,100000
395,10134,0.0,0,735,299,1034,240,0,109000
396,9571,0.0,739,1144,0,1144,596,44,129000
397,7200,0.0,777,894,0,894,600,215,123000
398,7590,288.0,540,864,936,1812,264,0,169500
399,8967,0.0,0,961,0,1077,338,0,67000
400,8125,100.0,812,1092,438,1550,438,0,241000
401,14963,0.0,786,1260,0,1288,500,120,245500
402,8767,0.0,24,1310,0,1310,400,0,164990
403,10200,0.0,0,672,0,672,240,168,108000
404,12090,650.0,0,1141,1098,2263,420,144,258000
405,10364,0.0,0,806,766,1572,373,0,168000
406,9991,0.0,1116,1281,0,1620,490,120,150000
407,10480,0.0,0,1064,0,1639,240,0,115000
408,15576,0.0,0,840,840,1680,308,0,177000
409,14154,350.0,0,1063,1101,2172,947,192,280000
410,10800,100.0,789,1034,1028,2078,836,0,339750
411,9571,0.0,0,1276,0,1276,350,0,60000
412,34650,0.0,1056,1056,0,1056,572,264,145000
413,4403,432.0,578,1470,0,1478,484,0,222000
414,8960,0.0,0,1008,0,1028,360,0,115000
415,11228,0.0,50,1080,1017,2097,678,196,228000
416,8899,0.0,24,1340,0,1340,396,100,181134
417,7844,203.0,209,672,728,1400,440,0,149500
418,22420,0.0,1128,1370,1254,2624,864,0,239000
419,8160,0.0,312,756,378,1134,240,0,126000
420,8450,0.0,775,1056,0,1056,304,0,142000
421,7060,200.0,1309,1344,0,1344,784,0,206300
422,16635,126.0,1246,1602,0,1602,529,240,215000
423,21750,0.0,0,988,0,988,520,0,113000
424,9200,473.0,986,1470,1160,2630,696,0,315000
425,9000,74.0,616,1196,0,1196,297,0,139000
426,3378,0.0,0,651,682,1389,240,0,135000
427,12800,145.0,1518,1518,0,1644,569,80,275000
428,8593,0.0,288,907,0,907,352,0,109008
429,6762,108.0,664,1208,0,1208,628,105,195400
430,11457,0.0,1005,1392,0,1412,576,0,175000
431,1680,232.0,387,483,504,987,264,0,85400
432,5586,0.0,0,901,110,1198,0,0,79900
433,1920,376.0,471,765,600,1365,440,240,122500
434,10839,0.0,0,926,678,1604,470,0,181000
435,1890,0.0,495,630,0,630,0,88,81000
436,10667,0.0,385,799,834,1661,550,158,212000
437,4400,0.0,0,648,384,1118,440,0,116000
438,6000,0.0,0,884,0,904,180,0,119000
439,4280,0.0,365,440,0,694,352,0,90350
440,12354,0.0,0,684,512,1196,528,0,110000
441,15431,200.0,1767,3094,0,2402,672,0,555000
442,12108,270.0,133,1440,0,1440,0,0,118000
443,6240,0.0,0,1078,445,1573,360,0,162900
444,3922,72.0,0,1258,0,1258,648,144,172500
445,8750,0.0,642,915,975,1908,493,144,210000
446,9855,0.0,0,1436,0,1689,480,0,127500
447,16492,0.0,247,1517,0,1888,578,0,190000
448,11214,0.0,0,930,930,1886,431,89,199900
449,8600,0.0,0,780,596,1376,198,0,119500
450,6000,0.0,331,649,504,1183,308,0,120000
451,5684,0.0,0,813,0,813,270,0,110000
452,70761,0.0,655,1533,0,1533,576,200,280000
453,9303,42.0,742,872,868,1756,422,144,204000
454,9000,0.0,0,768,804,1590,676,0,210000
455,9297,0.0,1606,1728,0,1728,560,0,188000
456,9600,320.0,916,1242,0,1242,528,0,175500
457,4571,0.0,0,624,720,1344,513,0,98000
458,53227,0.0,1116,1364,0,1663,529,224,256000
459,5100,0.0,0,588,833,1666,228,192,161000
460,7015,161.0,185,709,224,1203,352,0,110000
461,8004,110.0,544,832,1103,1935,552,0,263435
462,7200,0.0,350,560,560,1135,576,256,155000
463,8281,0.0,553,864,0,864,360,0,62383
464,11988,0.0,326,715,811,1660,240,0,188700
465,8430,136.0,616,1040,0,1040,0,0,124000
466,3072,18.0,0,1375,0,1414,398,144,178740
467,10628,0.0,778,1277,0,1277,526,0,167000
468,9480,224.0,386,728,756,1644,312,168,146500
469,11428,248.0,0,1626,0,1634,866,0,250000
470,9291,120.0,426,832,878,1710,506,144,187000
471,6820,0.0,368,1488,0,1502,528,0,212000
472,11952,0.0,0,808,808,1969,534,0,190000
473,3675,80.0,459,547,0,1072,525,0,148000
474,14977,304.0,1350,1976,0,1976,908,250,440000
475,5330,0.0,1196,1494,0,1652,499,96,251000
476,8480,0.0,630,970,0,970,624,0,132500
477,13125,215.0,994,1478,0,1493,508,140,208900
478,13693,772.0,0,2153,574,2643,694,414,380000
479,10637,336.0,1288,1705,0,1718,826,208,297000
480,5925,435.0,168,907,0,1131,672,0,89471
481,16033,378.0,1261,1833,0,1850,772,519,326000
482,11846,562.0,1567,1792,0,1792,874,206,374000
483,2500,0.0,299,910,910,1826,164,0,155000
484,4500,116.0,897,1216,0,1216,402,0,164000
485,7758,0.0,588,999,0,999,264,0,132500
486,9600,0.0,607,1113,0,1113,264,0,147000
487,10289,168.0,836,1073,0,1073,515,0,156000
488,12243,0.0,998,1484,0,1484,487,224,175000
489,10800,0.0,664,954,648,2414,520,142,160000
490,1526,0.0,515,630,0,630,286,0,86000
491,2665,0.0,0,264,688,1304,336,141,115000
492,9490,0.0,403,806,620,1578,240,0,133000
493,15578,0.0,0,728,728,1456,429,0,172785
494,7931,0.0,374,1269,0,1269,308,0,155000
495,5784,0.0,0,190,0,886,273,144,91300
496,7879,0.0,495,720,0,720,0,0,34900
497,12692,0.0,1231,3200,0,3228,546,264,430000
498,9120,0.0,329,1026,687,1820,240,0,184000
499,7800,89.0,450,864,0,899,288,64,130000
500,7535,0.0,111,912,0,912,297,12,120000
501,1890,285.0,356,672,546,1218,264,144,113000
502,9803,0.0,400,866,902,1768,603,0,226700
503,9170,0.0,698,1214,0,1214,461,0,140000
504,15602,0.0,1247,1501,0,1801,484,0,289000
505,2308,0.0,257,855,467,1322,440,260,147000
506,7596,360.0,0,960,1000,1960,400,0,124500
507,9554,125.0,380,777,846,1911,471,182,215000
508,7862,0.0,27,1218,0,1218,676,0,208300
509,9600,0.0,141,689,689,1378,360,0,161000
510,9600,132.0,991,1041,0,1041,270,224,124500
511,14559,70.0,650,1008,0,1363,288,324,164900
512,6792,94.0,0,1368,0,1368,474,132,202665
513,9100,0.0,521,864,0,864,624,0,129900
514,9187,0.0,336,1084,0,1080,484,120,134000
515,10594,0.0,0,768,0,789,200,0,96500
516,12220,305.0,1436,2006,0,2020,900,156,402861
517,10448,333.0,0,689,741,2119,583,0,158000
518,10208,921.0,0,1264,1067,2344,889,220,265000
519,9531,0.0,706,794,914,1796,546,0,211000
520,10918,0.0,0,1276,804,2080,282,0,234000
521,10800,0.0,0,0,600,1294,0,220,106250
522,11988,0.0,777,1244,0,1244,336,0,150000
523,5000,0.0,399,1004,660,1664,420,0,159000
524,40094,762.0,2260,3138,1538,4676,884,208,184750
525,11787,594.0,719,1379,1015,2398,834,239,315750
526,7500,0.0,0,1257,0,1266,453,38,176000
527,13300,0.0,377,928,0,928,252,261,132000
528,14948,268.0,1330,1452,1237,2713,858,126,446261
529,9098,0.0,348,528,0,605,0,0,86000
530,32668,103.68526170798899,1219,2035,0,2515,484,0,200624
531,10200,219.0,783,1461,0,1509,600,224,175000
532,6155,0.0,0,611,611,1362,502,0,128000
533,7200,0.0,0,0,0,827,392,0,107500
534,5000,0.0,0,0,0,334,0,0,39300
535,9056,0.0,0,707,707,1414,403,100,178000
536,7000,0.0,969,1117,527,1347,0,85,107500
537,8924,0.0,0,880,844,1724,527,120,188000
538,12735,0.0,600,864,0,864,576,216,111250
539,11553,188.0,673,1051,0,1159,336,466,158000
540,11423,479.0,1358,1581,0,1601,670,180,272000
