,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageFinish,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,PoolArea,MiscVal,SaleType,SaleCondition,SalePrice,TotalSF,TotalPorchSF,TotalBath,SnMoSold,CsMoSold,Remodeled,Age,Isnew
11,60,RL,85.0,11924,Pave,2,Lvl,AllPub,Inside,2,NridgHt,Norm,Norm,1Fam,2Story,9,5,Hip,CompShg,WdShing,Wd Shng,3.0,286.0,3,2,PConc,3.0,2.0,0.0,5.0,998,1.0,0,177,GasA,4,1,SBrkr,1182,1142,0,4,1,3,11,1,2,BuiltIn,2.0,736,2.0,2.0,2,147,0,0,New,Partial,345000,3499,21,4.0,-0.4999999999999997,-0.8660254037844388,1,0,0
12,20,RL,,12968,Pave,1,Lvl,AllPub,Inside,2,Sawyer,Norm,Norm,1Fam,1Story,5,6,Hip,CompShg,HdBoard,Plywood,0.0,0.0,1,2,CBlock,1.0,2.0,0.0,4.0,737,1.0,0,175,GasA,2,1,SBrkr,912,0,0,2,1,1,4,1,0,Detchd,0.0,352,2.0,2.0,2,140,0,0,WD,Normal,144000,1824,176,2.0,-1.0,-1.8369701987210287e-16,0,46,0
13,20,RL,91.0,10652,Pave,2,Lvl,AllPub,Inside,2,CollgCr,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,3.0,306.0,2,2,PConc,2.0,2.0,2.0,0.0,0,1.0,0,1494,GasA,4,1,SBrkr,1494,0,0,3,1,2,7,1,1,Attchd,1.0,840,2.0,2.0,2,160,0,0,New,Partial,279500,2988,33,2.0,-0.8660254037844384,-0.5000000000000004,1,0,0
14,20,RL,,10920,Pave,2,Lvl,AllPub,Corner,2,NAmes,Norm,Norm,1Fam,1Story,6,5,Hip,CompShg,MetalSd,MetalSd,2.0,212.0,1,2,CBlock,1.0,2.0,0.0,3.0,733,1.0,0,520,GasA,2,1,SBrkr,1253,0,0,2,1,1,5,1,1,Attchd,1.0,352,2.0,2.0,2,0,0,0,WD,Normal,157000,2506,389,2.5,0.5,-0.8660254037844387,0,48,0
15,45,RM,51.0,6120,Pave,3,Lvl,AllPub,Corner,2,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,0.0,1,2,BrkTil,1.0,2.0,0.0,0.0,0,1.0,0,832,GasA,4,1,FuseA,854,0,0,2,1,1,5,1,0,Detchd,0.0,576,2.0,2.0,2,48,0,0,WD,Normal,132000,1686,112,1.0,-0.4999999999999997,-0.8660254037844388,1,6,0
16,20,RL,,11241,Pave,2,Lvl,AllPub,CulDSac,2,NAmes,Norm,Norm,1Fam,1Story,6,7,Gable,CompShg,Wd Sdng,Wd Sdng,2.0,180.0,1,2,CBlock,1.0,2.0,0.0,4.0,578,1.0,0,426,GasA,4,1,SBrkr,1004,0,0,2,1,1,5,1,1,Attchd,2.0,480,2.0,2.0,2,0,0,700,WD,Normal,149000,2008,0,2.0,1.0,6.123233995736766e-17,0,40,0
17,90,RL,72.0,10791,Pave,3,Lvl,AllPub,Inside,2,Sawyer,Norm,Norm,Duplex,1Story,4,5,Gable,CompShg,MetalSd,MetalSd,0.0,0.0,1,2,Slab,,,,,0,,0,0,GasA,2,1,SBrkr,1296,0,0,2,2,1,6,1,0,CarPort,0.0,516,2.0,2.0,2,0,0,500,WD,Normal,90000,1296,0,2.0,-0.8660254037844386,0.5000000000000001,0,39,0
18,20,RL,66.0,13695,Pave,3,Lvl,AllPub,Inside,2,SawyerW,RRAe,Norm,1Fam,1Story,5,5,Gable,CompShg,VinylSd,VinylSd,0.0,0.0,1,2,PConc,1.0,2.0,0.0,5.0,646,1.0,0,468,GasA,4,1,SBrkr,1114,0,0,3,1,2,6,1,0,Detchd,0.0,576,2.0,2.0,2,0,0,0,WD,Normal,159000,2228,102,2.5,1.2246467991473532e-16,-1.0,0,4,0
19,20,RL,70.0,7560,Pave,3,Lvl,AllPub,Inside,2,NAmes,Norm,Norm,1Fam,1Story,5,6,Hip,CompShg,BrkFace,Plywood,0.0,0.0,1,2,CBlock,1.0,2.0,0.0,1.0,504,1.0,0,525,GasA,2,1,SBrkr,1339,0,0,3,1,1,6,6,0,Attchd,0.0,294,2.0,2.0,2,0,0,0,COD,Abnorml,139000,2368,0,1.0,0.5,-0.8660254037844387,1,44,0
20,60,RL,101.0,14215,Pave,2,Lvl,AllPub,Corner,2,NridgHt,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,VinylSd,VinylSd,2.0,380.0,2,2,PConc,3.0,2.0,2.0,0.0,0,1.0,0,1158,GasA,4,1,SBrkr,1158,1218,0,4,1,2,9,1,1,BuiltIn,1.0,853,2.0,2.0,2,240,0,0,New,Partial,325300,3534,154,3.5,-0.5000000000000004,0.8660254037844384,1,0,0
21,45,RM,57.0,7449,Pave,3,Bnk,AllPub,Inside,2,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,0.0,1,2,PConc,1.0,2.0,0.0,0.0,0,1.0,0,637,GasA,4,1,FuseF,1108,0,0,3,1,2,6,1,1,Attchd,0.0,280,2.0,2.0,0,0,0,0,WD,Normal,139400,1745,205,1.0,1.2246467991473532e-16,-1.0,1,57,0
22,20,RL,75.0,9742,Pave,3,Lvl,AllPub,Inside,2,CollgCr,Norm,Norm,1Fam,1Story,8,5,Hip,CompShg,VinylSd,VinylSd,2.0,281.0,2,2,PConc,2.0,2.0,0.0,0.0,0,1.0,0,1777,GasA,4,1,SBrkr,1795,0,0,3,1,2,7,1,1,Attchd,1.0,534,2.0,2.0,2,171,0,0,WD,Normal,230000,3572,159,2.0,-1.0,-1.8369701987210287e-16,0,6,0
23,120,RM,44.0,4224,Pave,3,Lvl,AllPub,Inside,2,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,Gable,CompShg,CemntBd,CmentBd,0.0,0.0,1,2,PConc,2.0,2.0,0.0,5.0,840,1.0,0,200,GasA,2,1,SBrkr,1060,0,0,3,1,1,6,1,1,Attchd,0.0,572,2.0,2.0,2,100,0,0,WD,Normal,129900,2100,110,2.0,1.2246467991473532e-16,-1.0,0,31,0
24,20,RL,,8246,Pave,2,Lvl,AllPub,Inside,2,Sawyer,Norm,Norm,1Fam,1Story,5,8,Gable,CompShg,Plywood,Plywood,0.0,0.0,1,3,CBlock,1.0,2.0,1.0,2.0,188,4.0,668,204,GasA,4,1,SBrkr,1060,0,0,3,1,2,6,1,1,Attchd,0.0,270,2.0,2.0,2,406,0,0,WD,Normal,154000,2120,90,2.0,0.5,-0.8660254037844387,1,9,0
25,20,RL,110.0,14230,Pave,3,Lvl,AllPub,Corner,2,NridgHt,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,3.0,640.0,2,2,PConc,2.0,2.0,0.0,0.0,0,1.0,0,1566,GasA,4,1,SBrkr,1600,0,0,3,1,2,7,1,1,Attchd,1.0,890,2.0,2.0,2,0,0,0,WD,Normal,256300,3166,56,2.0,-0.4999999999999997,-0.8660254037844388,0,2,0
26,20,RL,60.0,7200,Pave,3,Lvl,AllPub,Corner,2,NAmes,Norm,Norm,1Fam,1Story,5,7,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,0.0,1,2,CBlock,1.0,2.0,1.0,3.0,234,2.0,486,180,GasA,2,1,SBrkr,900,0,0,3,1,2,5,1,0,Detchd,0.0,576,2.0,2.0,2,222,0,0,WD,Normal,134800,1800,32,1.5,0.5,-0.8660254037844387,1,10,0
27,20,RL,98.0,11478,Pave,3,Lvl,AllPub,Inside,2,NridgHt,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,3.0,200.0,2,2,PConc,3.0,2.0,0.0,5.0,1218,1.0,0,486,GasA,4,1,SBrkr,1704,0,0,3,1,2,7,1,1,Attchd,1.0,772,2.0,2.0,2,0,0,0,WD,Normal,306000,3408,50,3.0,0.5,-0.8660254037844387,1,2,0
28,20,RL,47.0,16321,Pave,2,Lvl,AllPub,CulDSac,2,NAmes,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,MetalSd,MetalSd,0.0,0.0,1,2,CBlock,1.0,2.0,3.0,3.0,1277,1.0,0,207,GasA,2,1,SBrkr,1600,0,0,2,1,1,6,1,2,Attchd,1.0,319,2.0,2.0,2,288,0,0,WD,Normal,207500,3084,258,2.0,-2.4492935982947064e-16,1.0,1,9,0
29,30,RM,60.0,6324,Pave,2,Lvl,AllPub,Inside,2,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,Gable,CompShg,MetalSd,MetalSd,0.0,0.0,1,2,BrkTil,1.0,2.0,0.0,0.0,0,1.0,0,520,GasA,1,0,SBrkr,520,0,0,1,1,0,4,1,0,Detchd,0.0,240,1.0,2.0,2,49,0,0,WD,Normal,68500,1040,87,1.0,0.5,-0.8660254037844387,1,58,0
30,70,C (all),50.0,8500,Pave,3,Lvl,AllPub,Inside,2,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,Gambrel,CompShg,BrkFace,BrkFace,0.0,0.0,1,1,BrkTil,1.0,2.0,0.0,0.0,0,1.0,0,649,GasA,2,0,SBrkr,649,668,0,3,1,1,6,1,0,Detchd,0.0,250,2.0,1.0,0,0,0,0,WD,Normal,40000,1966,226,1.0,-0.4999999999999997,-0.8660254037844388,1,58,0
31,20,RL,,8544,Pave,2,Lvl,AllPub,CulDSac,2,Sawyer,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,HdBoard,HdBoard,0.0,0.0,1,2,CBlock,1.0,2.0,0.0,0.0,0,1.0,0,1228,GasA,3,1,SBrkr,1228,0,0,3,1,2,6,1,0,Attchd,0.0,271,2.0,2.0,2,0,0,0,WD,Normal,149350,2456,65,1.5,1.2246467991473532e-16,-1.0,1,2,0
32,20,RL,85.0,11049,Pave,3,Lvl,AllPub,Corner,2,CollgCr,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,0.0,0.0,2,2,PConc,3.0,2.0,2.0,0.0,0,1.0,0,1234,GasA,4,1,SBrkr,1234,0,0,3,1,2,7,1,0,Attchd,1.0,484,2.0,2.0,2,0,0,0,WD,Normal,179900,2468,30,2.0,0.5,0.8660254037844387,0,1,0
33,20,RL,70.0,10552,Pave,2,Lvl,AllPub,Inside,2,NAmes,Norm,Norm,1Fam,1Story,5,5,Hip,CompShg,BrkFace,BrkFace,0.0,0.0,1,2,CBlock,1.0,2.0,0.0,2.0,1018,1.0,0,380,GasA,3,1,SBrkr,1700,0,0,4,1,2,6,1,1,Attchd,1.0,447,2.0,2.0,2,0,0,0,WD,Normal,165500,3098,38,2.0,0.8660254037844387,-0.4999999999999998,0,51,0
34,120,RL,60.0,7313,Pave,3,Lvl,AllPub,Inside,2,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,Hip,CompShg,MetalSd,MetalSd,2.0,246.0,3,2,PConc,3.0,2.0,0.0,5.0,1153,1.0,0,408,GasA,4,1,SBrkr,1561,0,0,2,1,3,6,1,1,Attchd,2.0,556,2.0,2.0,2,203,0,0,WD,Normal,277500,3122,47,3.0,-0.8660254037844384,-0.5000000000000004,0,2,0
35,60,RL,108.0,13418,Pave,3,Lvl,AllPub,Inside,2,NridgHt,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,VinylSd,VinylSd,3.0,132.0,2,2,PConc,3.0,2.0,2.0,0.0,0,1.0,0,1117,GasA,4,1,SBrkr,1132,1320,0,4,1,2,9,1,1,BuiltIn,2.0,691,2.0,2.0,2,113,0,0,WD,Normal,309000,3569,32,3.5,-1.0,-1.8369701987210287e-16,1,1,0
36,20,RL,112.0,10859,Pave,3,Lvl,AllPub,Corner,2,CollgCr,Norm,Norm,1Fam,1Story,5,5,Gable,CompShg,VinylSd,VinylSd,0.0,0.0,1,2,PConc,2.0,2.0,0.0,0.0,0,1.0,0,1097,GasA,4,1,SBrkr,1097,0,0,3,1,1,6,1,0,Attchd,0.0,672,2.0,2.0,2,392,0,0,WD,Normal,145000,2194,64,1.5,1.2246467991473532e-16,-1.0,1,14,0
37,20,RL,74.0,8532,Pave,3,Lvl,AllPub,Inside,2,NAmes,Norm,Norm,1Fam,1Story,5,6,Hip,CompShg,Wd Sdng,Wd Sdng,2.0,650.0,1,2,CBlock,1.0,2.0,0.0,2.0,1213,1.0,0,84,GasA,3,1,SBrkr,1297,0,0,3,1,1,5,1,1,Attchd,2.0,498,2.0,2.0,2,0,0,0,WD,Normal,153000,2594,0,1.5,-0.8660254037844386,0.5000000000000001,1,19,0
38,20,RL,68.0,7922,Pave,3,Lvl,AllPub,Inside,2,NAmes,Norm,Norm,1Fam,1Story,5,7,Gable,CompShg,VinylSd,VinylSd,0.0,0.0,1,3,CBlock,1.0,2.0,0.0,5.0,731,1.0,0,326,GasA,2,1,SBrkr,1057,0,0,3,1,2,5,1,0,Detchd,0.0,246,2.0,2.0,2,0,0,0,WD,Abnorml,109000,2114,52,2.0,0.5,0.8660254037844387,1,3,0
39,90,RL,65.0,6040,Pave,3,Lvl,AllPub,Inside,2,Edwards,Norm,Norm,Duplex,1Story,4,5,Gable,CompShg,AsbShng,Plywood,0.0,0.0,1,2,PConc,,,,,0,,0,0,GasA,2,0,FuseP,1152,0,0,2,2,0,6,1,0,,,0,,,0,0,0,0,WD,AdjLand,82000,1152,0,2.0,1.2246467991473532e-16,-1.0,0,53,0
40,20,RL,84.0,8658,Pave,3,Lvl,AllPub,Inside,2,NAmes,Norm,Norm,1Fam,1Story,6,5,Gable,CompShg,Wd Sdng,Wd Sdng,2.0,101.0,1,2,CBlock,1.0,2.0,0.0,2.0,643,1.0,0,445,GasA,4,1,SBrkr,1324,0,0,3,1,1,6,1,1,Attchd,1.0,440,2.0,2.0,2,0,0,0,WD,Abnorml,160000,2412,138,2.0,-2.4492935982947064e-16,1.0,0,41,0
41,20,RL,115.0,16905,Pave,3,Lvl,AllPub,Inside,2,Timber,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,VinylSd,VinylSd,0.0,0.0,1,3,CBlock,1.0,2.0,3.0,3.0,967,1.0,0,383,GasA,3,1,SBrkr,1328,0,0,2,1,1,5,1,2,Attchd,1.0,308,2.0,2.0,1,0,0,0,WD,Normal,170000,2678,104,2.0,-0.4999999999999997,-0.8660254037844388,0,48,0
42,85,RL,,9180,Pave,2,Lvl,AllPub,CulDSac,2,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,Gable,CompShg,HdBoard,HdBoard,0.0,0.0,1,2,CBlock,2.0,2.0,2.0,4.0,747,0.0,93,0,GasA,3,1,SBrkr,884,0,0,2,1,2,5,1,0,Attchd,1.0,504,2.0,3.0,2,240,0,0,WD,Normal,144000,1724,0,2.0,-2.4492935982947064e-16,1.0,0,24,0
43,20,RL,,9200,Pave,2,Lvl,AllPub,CulDSac,2,CollgCr,Norm,Norm,1Fam,1Story,5,6,Hip,CompShg,VinylSd,VinylSd,0.0,0.0,1,2,CBlock,2.0,2.0,2.0,1.0,280,3.0,491,167,GasA,2,1,SBrkr,938,0,0,3,1,1,5,1,0,Detchd,0.0,308,2.0,2.0,2,145,0,0,WD,Normal,130250,1876,0,2.0,-0.4999999999999997,-0.8660254037844388,1,28,0
44,20,RL,70.0,7945,Pave,3,Lvl,AllPub,Inside,2,NAmes,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,BrkFace,Wd Sdng,0.0,0.0,1,2,CBlock,1.0,2.0,0.0,4.0,179,3.0,506,465,GasA,4,1,FuseA,1150,0,0,3,1,1,6,1,0,Attchd,1.0,300,2.0,2.0,2,0,0,0,WD,Normal,141000,2300,0,2.0,0.5,-0.8660254037844387,0,47,0
45,120,RL,61.0,7658,Pave,3,Lvl,AllPub,Inside,2,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,Hip,CompShg,MetalSd,MetalSd,2.0,412.0,3,2,PConc,3.0,2.0,0.0,5.0,456,1.0,0,1296,GasA,4,1,SBrkr,1752,0,0,2,1,3,6,1,1,Attchd,1.0,576,2.0,2.0,2,196,0,0,WD,Normal,319900,3504,82,3.0,0.8660254037844386,0.5000000000000001,0,5,0
46,50,RL,48.0,12822,Pave,2,Lvl,AllPub,CulDSac,2,Mitchel,Norm,Norm,1Fam,1.5Fin,7,5,Gable,CompShg,VinylSd,VinylSd,0.0,0.0,2,2,PConc,3.0,2.0,0.0,5.0,1351,1.0,0,83,GasA,4,1,SBrkr,1518,631,0,1,1,2,6,1,1,Attchd,1.0,670,2.0,2.0,2,168,0,0,WD,Abnorml,239686,3583,241,2.5,-0.8660254037844384,-0.5000000000000004,0,6,0
47,20,FV,84.0,11096,Pave,3,Lvl,AllPub,Inside,2,Somerst,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,0.0,0.0,2,2,PConc,2.0,2.0,2.0,5.0,24,1.0,0,1632,GasA,4,1,SBrkr,1656,0,0,3,1,2,7,1,0,Attchd,1.0,826,2.0,2.0,2,0,0,0,WD,Normal,249700,3312,146,2.0,-0.4999999999999997,-0.8660254037844388,0,1,0
48,190,RM,33.0,4456,Pave,3,Lvl,AllPub,Inside,2,OldTown,Norm,Norm,2fmCon,2Story,4,5,Gable,CompShg,MetalSd,MetalSd,0.0,0.0,1,2,BrkTil,1.0,2.0,0.0,0.0,0,1.0,0,736,GasA,3,1,SBrkr,736,716,0,2,3,1,8,1,0,,,0,,,0,0,0,0,New,Partial,113000,2188,102,2.0,1.2246467991473532e-16,-1.0,1,1,0
49,20,RL,66.0,7742,Pave,3,Lvl,AllPub,Inside,2,Sawyer,Norm,Norm,1Fam,1Story,5,7,Gable,CompShg,HdBoard,HdBoard,0.0,0.0,1,2,CBlock,1.0,2.0,0.0,3.0,763,1.0,0,192,GasA,4,1,SBrkr,955,0,0,3,1,1,6,1,0,Attchd,0.0,386,2.0,2.0,2,0,0,0,WD,Normal,127000,1910,0,2.0,0.5,0.8660254037844387,0,41,0
50,60,RL,,13869,Pave,1,Lvl,AllPub,Corner,2,Gilbert,Norm,Norm,1Fam,2Story,6,6,Gable,CompShg,VinylSd,VinylSd,0.0,0.0,1,2,PConc,2.0,2.0,2.0,5.0,182,1.0,0,612,GasA,3,1,SBrkr,794,676,0,3,1,1,6,1,0,Attchd,2.0,388,2.0,2.0,2,0,0,0,WD,Normal,177000,2264,75,2.5,-0.4999999999999997,-0.8660254037844388,0,10,0
51,50,RM,52.0,6240,Pave,3,Lvl,AllPub,Inside,2,BrkSide,Norm,Norm,1Fam,1.5Fin,6,6,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,0.0,1,2,PConc,1.0,2.0,0.0,0.0,0,1.0,0,816,GasA,2,1,SBrkr,816,0,360,3,1,1,6,1,1,Detchd,0.0,528,2.0,2.0,2,112,0,400,WD,Normal,114500,1992,0,1.0,-1.0,-1.8369701987210287e-16,1,56,0
52,90,RM,110.0,8472,Grvl,1,Bnk,AllPub,Corner,1,IDOTRR,RRNn,Norm,Duplex,1Story,5,5,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,0.0,0,2,CBlock,2.0,2.0,3.0,1.0,104,5.0,712,0,GasA,2,0,SBrkr,816,0,0,2,1,1,5,1,0,CarPort,0.0,516,2.0,2.0,2,106,0,0,WD,Normal,110000,1632,0,2.0,0.5,-0.8660254037844387,0,47,0
53,20,RL,68.0,50271,Pave,2,Low,AllPub,Inside,2,Veenker,Norm,Norm,1Fam,1Story,9,5,Gable,WdShngl,WdShing,Wd Shng,0.0,0.0,2,2,CBlock,3.0,2.0,3.0,5.0,1810,1.0,0,32,GasA,3,1,SBrkr,1842,0,0,0,1,2,5,1,1,Attchd,2.0,894,2.0,2.0,2,857,0,0,WD,Normal,385000,3684,72,2.5,-0.5000000000000004,0.8660254037844384,1,19,0
54,80,RL,60.0,7134,Pave,3,Bnk,AllPub,Inside,1,NAmes,Norm,Norm,1Fam,SLvl,5,5,Gable,CompShg,MetalSd,MetalSd,0.0,0.0,1,2,CBlock,1.0,2.0,0.0,4.0,384,1.0,0,0,GasA,2,1,SBrkr,1360,0,0,3,1,1,6,6,1,Detchd,0.0,572,2.0,2.0,2,0,0,0,WD,Normal,130000,1744,50,1.0,0.8660254037844386,0.5000000000000001,0,52,0
55,20,RL,100.0,10175,Pave,2,Lvl,AllPub,Inside,2,NAmes,Norm,Norm,1Fam,1Story,6,5,Gable,CompShg,HdBoard,Plywood,2.0,272.0,1,2,CBlock,1.0,2.0,0.0,3.0,490,1.0,0,935,GasA,3,1,SBrkr,1425,0,0,3,1,1,7,1,1,Attchd,1.0,576,2.0,2.0,2,0,0,0,WD,Normal,180500,2850,407,2.0,-0.4999999999999997,-0.8660254037844388,0,44,0
56,160,FV,24.0,2645,Pave,3,Lvl,AllPub,Inside,2,Somerst,Norm,Norm,Twnhs,2Story,8,5,Gable,CompShg,MetalSd,MetalSd,2.0,456.0,2,2,PConc,2.0,2.0,0.0,5.0,649,1.0,0,321,GasA,4,1,SBrkr,983,756,0,3,1,2,7,1,0,Attchd,2.0,480,2.0,2.0,2,115,0,0,WD,Abnorml,172500,2709,0,3.5,-0.8660254037844384,-0.5000000000000004,1,9,0
