,Age,GarageArea,TotalSF,MasVnrArea,WoodDeckSF,BsmtFinSF1,2ndFlrSF,BsmtFinSF2,MiscVal,LotArea,MSZoning,Street,LandContour,Utilities,LotConfig,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,Foundation,Heating,Electrical,GarageType,SaleType,SaleCondition,SalePrice
22,6,534,3572,281.0,171,0,0,0,0,9742,RL,Pave,Lvl,AllPub,Inside,CollgCr,Norm,Norm,1Fam,1Story,Hip,CompShg,VinylSd,VinylSd,PConc,GasA,SBrkr,Attchd,WD,Normal,230000
23,31,572,2100,0.0,100,840,0,0,0,4224,RM,Pave,Lvl,AllPub,Inside,MeadowV,Norm,Norm,TwnhsE,1Story,Gable,CompShg,CemntBd,CmentBd,PConc,GasA,SBrkr,Attchd,WD,Normal,129900
24,9,270,2120,0.0,406,188,0,668,0,8246,RL,Pave,Lvl,AllPub,Inside,Sawyer,Norm,Norm,1Fam,1Story,Gable,CompShg,Plywood,Plywood,CBlock,GasA,SBrkr,Attchd,WD,Normal,154000
25,2,890,3166,640.0,0,0,0,0,0,14230,RL,Pave,Lvl,AllPub,Corner,NridgHt,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,PConc,GasA,SBrkr,Attchd,WD,Normal,256300
26,10,576,1800,0.0,222,234,0,486,0,7200,RL,Pave,Lvl,AllPub,Corner,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,CBlock,GasA,SBrkr,Detchd,WD,Normal,134800
27,2,772,3408,200.0,0,1218,0,0,0,11478,RL,Pave,Lvl,AllPub,Inside,NridgHt,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,PConc,GasA,SBrkr,Attchd,WD,Normal,306000
28,9,319,3084,0.0,288,1277,0,0,0,16321,RL,Pave,Lvl,AllPub,CulDSac,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,CBlock,GasA,SBrkr,Attchd,WD,Normal,207500
29,58,240,1040,0.0,49,0,0,0,0,6324,RM,Pave,Lvl,AllPub,Inside,BrkSide,Feedr,RRNn,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,BrkTil,GasA,SBrkr,Detchd,WD,Normal,68500
30,58,250,1966,0.0,0,0,668,0,0,8500,C (all),Pave,Lvl,AllPub,Inside,IDOTRR,Feedr,Norm,1Fam,2Story,Gambrel,CompShg,BrkFace,BrkFace,BrkTil,GasA,SBrkr,Detchd,WD,Normal,40000
31,2,271,2456,0.0,0,0,0,0,0,8544,RL,Pave,Lvl,AllPub,CulDSac,Sawyer,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,CBlock,GasA,SBrkr,Attchd,WD,Normal,149350
32,1,484,2468,0.0,0,0,0,0,0,11049,RL,Pave,Lvl,AllPub,Corner,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,PConc,GasA,SBrkr,Attchd,WD,Normal,179900
33,51,447,3098,0.0,0,1018,0,0,0,10552,RL,Pave,Lvl,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,BrkFace,BrkFace,CBlock,GasA,SBrkr,Attchd,WD,Normal,165500
34,2,556,3122,246.0,203,1153,0,0,0,7313,RL,Pave,Lvl,AllPub,Inside,NridgHt,Norm,Norm,TwnhsE,1Story,Hip,CompShg,MetalSd,MetalSd,PConc,GasA,SBrkr,Attchd,WD,Normal,277500
35,1,691,3569,132.0,113,0,1320,0,0,13418,RL,Pave,Lvl,AllPub,Inside,NridgHt,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,PConc,GasA,SBrkr,BuiltIn,WD,Normal,309000
36,14,672,2194,0.0,392,0,0,0,0,10859,RL,Pave,Lvl,AllPub,Corner,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,PConc,GasA,SBrkr,Attchd,WD,Normal,145000
37,19,498,2594,650.0,0,1213,0,0,0,8532,RL,Pave,Lvl,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,Wd Sdng,Wd Sdng,CBlock,GasA,SBrkr,Attchd,WD,Normal,153000
38,3,246,2114,0.0,0,731,0,0,0,7922,RL,Pave,Lvl,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,CBlock,GasA,SBrkr,Detchd,WD,Abnorml,109000
39,53,0,1152,0.0,0,0,0,0,0,6040,RL,Pave,Lvl,AllPub,Inside,Edwards,Norm,Norm,Duplex,1Story,Gable,CompShg,AsbShng,Plywood,PConc,GasA,FuseP,,WD,AdjLand,82000
40,41,440,2412,101.0,0,643,0,0,0,8658,RL,Pave,Lvl,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,CBlock,GasA,SBrkr,Attchd,WD,Abnorml,160000
41,48,308,2678,0.0,0,967,0,0,0,16905,RL,Pave,Lvl,AllPub,Inside,Timber,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,CBlock,GasA,SBrkr,Attchd,WD,Normal,170000
42,24,504,1724,0.0,240,747,0,93,0,9180,RL,Pave,Lvl,AllPub,CulDSac,SawyerW,Norm,Norm,1Fam,SFoyer,Gable,CompShg,HdBoard,HdBoard,CBlock,GasA,SBrkr,Attchd,WD,Normal,144000
43,28,308,1876,0.0,145,280,0,491,0,9200,RL,Pave,Lvl,AllPub,CulDSac,CollgCr,Norm,Norm,1Fam,1Story,Hip,CompShg,VinylSd,VinylSd,CBlock,GasA,SBrkr,Detchd,WD,Normal,130250
44,47,300,2300,0.0,0,179,0,506,0,7945,RL,Pave,Lvl,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,BrkFace,Wd Sdng,CBlock,GasA,FuseA,Attchd,WD,Normal,141000
45,5,576,3504,412.0,196,456,0,0,0,7658,RL,Pave,Lvl,AllPub,Inside,NridgHt,Norm,Norm,TwnhsE,1Story,Hip,CompShg,MetalSd,MetalSd,PConc,GasA,SBrkr,Attchd,WD,Normal,319900
46,6,670,3583,0.0,168,1351,631,0,0,12822,RL,Pave,Lvl,AllPub,CulDSac,Mitchel,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,VinylSd,VinylSd,PConc,GasA,SBrkr,Attchd,WD,Abnorml,239686
47,1,826,3312,0.0,0,24,0,0,0,11096,FV,Pave,Lvl,AllPub,Inside,Somerst,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,PConc,GasA,SBrkr,Attchd,WD,Normal,249700
48,1,0,2188,0.0,0,0,716,0,0,4456,RM,Pave,Lvl,AllPub,Inside,OldTown,Norm,Norm,2fmCon,2Story,Gable,CompShg,MetalSd,MetalSd,BrkTil,GasA,SBrkr,,New,Partial,113000
49,41,386,1910,0.0,0,763,0,0,0,7742,RL,Pave,Lvl,AllPub,Inside,Sawyer,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,CBlock,GasA,SBrkr,Attchd,WD,Normal,127000
50,10,388,2264,0.0,0,182,676,0,0,13869,RL,Pave,Lvl,AllPub,Corner,Gilbert,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,PConc,GasA,SBrkr,Attchd,WD,Normal,177000
51,56,528,1992,0.0,112,0,0,0,400,6240,RM,Pave,Lvl,AllPub,Inside,BrkSide,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,Wd Sdng,Wd Sdng,PConc,GasA,SBrkr,Detchd,WD,Normal,114500
52,47,516,1632,0.0,106,104,0,712,0,8472,RM,Grvl,Bnk,AllPub,Corner,IDOTRR,RRNn,Norm,Duplex,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,CBlock,GasA,SBrkr,CarPort,WD,Normal,110000
53,19,894,3684,0.0,857,1810,0,0,0,50271,RL,Pave,Low,AllPub,Inside,Veenker,Norm,Norm,1Fam,1Story,Gable,WdShngl,WdShing,Wd Shng,CBlock,GasA,SBrkr,Attchd,WD,Normal,385000
54,52,572,1744,0.0,0,384,0,0,0,7134,RL,Pave,Bnk,AllPub,Inside,NAmes,Norm,Norm,1Fam,SLvl,Gable,CompShg,MetalSd,MetalSd,CBlock,GasA,SBrkr,Detchd,WD,Normal,130000
55,44,576,2850,272.0,0,490,0,0,0,10175,RL,Pave,Lvl,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,Plywood,CBlock,GasA,SBrkr,Attchd,WD,Normal,180500
56,9,480,2709,456.0,115,649,756,0,0,2645,FV,Pave,Lvl,AllPub,Inside,Somerst,Norm,Norm,Twnhs,2Story,Gable,CompShg,MetalSd,MetalSd,PConc,GasA,SBrkr,Attchd,WD,Abnorml,172500
57,2,565,2580,0.0,0,0,860,0,0,11645,RL,Pave,Lvl,AllPub,Corner,CollgCr,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,PConc,GasA,SBrkr,Attchd,WD,Normal,196500
58,0,641,4355,1031.0,192,0,1519,0,0,13682,RL,Pave,HLS,AllPub,CulDSac,StoneBr,Norm,Norm,1Fam,2Story,Hip,CompShg,VinylSd,VinylSd,PConc,GasA,SBrkr,BuiltIn,New,Partial,438780
59,36,352,1560,0.0,196,632,0,0,0,7200,RL,Pave,Bnk,AllPub,Inside,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,CBlock,GasA,SBrkr,Detchd,WD,Normal,124900
60,2,576,2316,0.0,0,941,0,0,0,13072,RL,Pave,Lvl,AllPub,Inside,SawyerW,RRAe,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,PConc,GasA,SBrkr,Detchd,New,Partial,158000
61,11,288,1641,0.0,0,0,530,0,0,7200,RM,Pave,Lvl,AllPub,Inside,IDOTRR,Norm,Norm,1Fam,2.5Unf,Gable,CompShg,MetalSd,MetalSd,BrkTil,GasA,SBrkr,Detchd,WD,Normal,101000
62,1,484,2740,178.0,120,24,0,0,0,6442,RL,Pave,Lvl,AllPub,Inside,NridgHt,Norm,Norm,TwnhsE,1Story,Gable,CompShg,VinylSd,VinylSd,PConc,GasA,SBrkr,Attchd,WD,Normal,202500
63,60,480,2286,0.0,12,0,808,0,0,10300,RM,Pave,Bnk,AllPub,Inside,OldTown,RRAn,Feedr,1Fam,2Story,Gable,CompShg,Stucco,Stucco,BrkTil,GasA,SBrkr,Detchd,WD,Normal,140000
64,11,645,3091,573.0,576,739,977,0,0,9375,RL,Pave,Lvl,AllPub,Inside,CollgCr,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,PConc,GasA,SBrkr,Attchd,WD,Normal,219500
65,2,852,3616,344.0,192,0,1330,0,0,9591,RL,Pave,Lvl,AllPub,Inside,NridgHt,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,PConc,GasA,SBrkr,BuiltIn,WD,Normal,317000
66,21,576,4154,287.0,301,912,0,0,0,19900,RL,Pave,Lvl,AllPub,Inside,NAmes,PosA,Norm,1Fam,1Story,Gable,CompShg,Plywood,Plywood,CBlock,GasA,SBrkr,Attchd,WD,Normal,180000
67,4,558,2932,167.0,144,1013,0,0,0,10665,RL,Pave,Lvl,AllPub,Inside,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,PConc,GasA,SBrkr,Attchd,WD,Normal,226000
68,60,220,1494,0.0,0,0,0,0,0,4608,RM,Pave,Lvl,AllPub,Corner,OldTown,Artery,Norm,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,CBlock,GasA,SBrkr,Attchd,WD,Normal,80000
69,53,667,3591,0.0,0,603,983,0,0,15593,RL,Pave,Lvl,AllPub,Corner,ClearCr,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,BrkFace,AsbShng,CBlock,GasW,SBrkr,Attchd,WD,Normal,225000
70,34,516,4446,1115.0,300,1880,0,0,0,13651,RL,Pave,Lvl,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,Plywood,Plywood,CBlock,GasA,SBrkr,Attchd,WD,Normal,244000
71,1,360,1690,0.0,0,565,0,0,0,7599,RL,Pave,Lvl,AllPub,Corner,Mitchel,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,Plywood,CBlock,GasA,SBrkr,Detchd,WD,Normal,129500
72,11,427,2550,40.0,0,0,833,0,0,10141,RL,Pave,Lvl,AllPub,Corner,Gilbert,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,PConc,GasA,SBrkr,Attchd,WD,Normal,185000
73,7,490,2172,104.0,0,320,0,362,0,10200,RL,Pave,Lvl,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,CBlock,GasA,SBrkr,Attchd,WD,Normal,144900
74,60,379,2445,0.0,0,0,765,0,0,5790,RM,Pave,Lvl,AllPub,Corner,OldTown,Norm,Norm,1Fam,2Story,Gambrel,CompShg,VinylSd,VinylSd,CBlock,GasA,SBrkr,Detchd,WD,Normal,107400
75,36,297,1450,0.0,120,462,462,0,0,1596,RM,Pave,Lvl,AllPub,Inside,MeadowV,Norm,Norm,Twnhs,SLvl,Gable,CompShg,CemntBd,CmentBd,CBlock,GasA,SBrkr,BuiltIn,WD,Normal,91000
76,52,283,1904,0.0,0,228,0,0,0,8475,RL,Pave,Lvl,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,CBlock,GasA,FuseA,Detchd,WD,Normal,135750
77,7,240,1957,0.0,0,336,213,41,0,8635,RM,Pave,Lvl,AllPub,Inside,BrkSide,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,Wd Sdng,Wd Sdng,CBlock,GasA,SBrkr,Detchd,WD,Normal,127000
78,42,0,3536,0.0,0,0,0,0,0,10778,RL,Pave,Lvl,AllPub,Inside,Sawyer,Norm,Norm,Duplex,1Story,Hip,CompShg,HdBoard,HdBoard,CBlock,GasA,SBrkr,,WD,Normal,136500
79,28,440,1670,0.0,74,0,548,0,0,10440,RM,Pave,Lvl,AllPub,Corner,OldTown,Norm,Norm,1Fam,2Story,Gable,CompShg,Wd Sdng,Wd Sdng,PConc,GasA,SBrkr,Detchd,WD,Normal,110000
80,41,509,3038,576.0,0,448,960,0,0,13000,RL,Pave,Lvl,AllPub,Corner,NAmes,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,CBlock,GasA,SBrkr,Attchd,WD,Normal,193500
81,8,405,2574,443.0,0,1201,0,0,0,4500,RM,Pave,Lvl,AllPub,FR2,Mitchel,Norm,Norm,TwnhsE,1Story,Hip,CompShg,VinylSd,VinylSd,PConc,GasA,SBrkr,Attchd,WD,Normal,153500
82,1,758,3126,468.0,144,33,0,0,0,10206,RL,Pave,Lvl,AllPub,Inside,Somerst,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,PConc,GasA,SBrkr,Attchd,WD,Normal,245000
83,47,461,2130,66.0,74,0,0,0,0,8892,RL,Pave,Lvl,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,CBlock,GasA,SBrkr,Detchd,COD,Normal,126500
84,13,400,1858,22.0,120,0,670,0,700,8530,RL,Pave,Lvl,AllPub,Inside,Gilbert,Norm,Norm,1Fam,SLvl,Gable,CompShg,HdBoard,HdBoard,PConc,GasA,SBrkr,BuiltIn,WD,Normal,168500
85,14,462,3705,284.0,127,0,1116,0,0,16059,RL,Pave,Lvl,AllPub,Corner,NoRidge,Norm,Norm,1Fam,2Story,Hip,CompShg,HdBoard,HdBoard,CBlock,GasA,SBrkr,Attchd,WD,Normal,260000
86,4,400,2244,0.0,100,0,876,0,0,11911,RL,Pave,Lvl,AllPub,Inside,Gilbert,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,PConc,GasA,SBrkr,BuiltIn,WD,Normal,174000
87,0,528,1836,76.0,0,0,612,0,0,3951,FV,Pave,Lvl,AllPub,Corner,Somerst,Norm,Norm,TwnhsE,2Story,Gable,CompShg,VinylSd,VinylSd,PConc,GasA,SBrkr,Detchd,New,Partial,164500
88,27,0,2539,0.0,0,0,0,0,0,8470,C (all),Pave,Lvl,AllPub,Corner,IDOTRR,Feedr,Feedr,1Fam,1.5Fin,Hip,CompShg,Plywood,Plywood,CBlock,GasA,SBrkr,,ConLD,Abnorml,85000
89,12,0,1980,0.0,0,588,0,0,0,8070,RL,Pave,Lvl,AllPub,Inside,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,PConc,GasA,SBrkr,,WD,Normal,123600
90,56,420,1040,0.0,0,0,0,0,0,7200,RL,Pave,Lvl,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,BrkFace,Wd Sdng,Slab,GasA,FuseA,Detchd,WD,Normal,109900
91,45,480,2470,203.0,0,600,0,0,0,8500,RL,Pave,Lvl,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,HdBoard,HdBoard,CBlock,GasA,SBrkr,Attchd,WD,Abnorml,98600
92,3,432,1840,0.0,0,713,0,0,0,13360,RL,Pave,HLS,AllPub,Inside,Crawfor,Norm,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,BrkTil,GasA,SBrkr,Detchd,WD,Normal,163500
93,9,506,3505,0.0,0,1046,1031,0,0,7200,C (all),Pave,Lvl,AllPub,Corner,OldTown,Norm,Norm,2fmCon,2.5Unf,Hip,CompShg,MetalSd,MetalSd,BrkTil,GasW,SBrkr,Detchd,WD,Normal,133900
94,10,684,2610,0.0,0,648,881,0,0,9337,RL,Pave,Lvl,AllPub,Inside,CollgCr,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,PConc,GasA,SBrkr,Attchd,WD,Normal,204750
95,16,420,2150,68.0,232,310,790,0,480,9765,RL,Pave,Lvl,AllPub,Corner,Gilbert,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,PConc,GasA,SBrkr,BuiltIn,WD,Normal,185000
96,7,472,3176,183.0,158,1162,0,0,0,10264,RL,Pave,Lvl,AllPub,Inside,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,PConc,GasA,SBrkr,Attchd,WD,Normal,214000
97,42,432,1920,48.0,120,520,0,0,0,10921,RL,Pave,HLS,AllPub,Inside,Edwards,Norm,Norm,1Fam,1Story,Hip,CompShg,HdBoard,HdBoard,CBlock,GasA,FuseF,Attchd,WD,Normal,94750
98,60,366,1293,0.0,0,108,0,0,400,10625,RL,Pave,Lvl,AllPub,Corner,Edwards,Norm,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,BrkTil,GasA,SBrkr,Basment,COD,Abnorml,83000
99,51,0,2175,0.0,352,569,0,0,400,9320,RL,Pave,Lvl,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,Plywood,Plywood,CBlock,GasA,SBrkr,,WD,Normal,128950
100,9,480,3220,28.0,168,1200,0,0,0,10603,RL,Pave,Lvl,AllPub,Inside,NWAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,Plywood,Plywood,PConc,GasA,SBrkr,Attchd,WD,Normal,205000
101,25,476,2473,336.0,192,0,755,0,0,9206,RL,Pave,Lvl,AllPub,Inside,SawyerW,Norm,Norm,1Fam,2Story,Gable,CompShg,HdBoard,HdBoard,CBlock,GasA,SBrkr,Attchd,WD,Normal,178000
102,30,410,1535,0.0,0,0,0,0,0,7018,RL,Pave,Bnk,AllPub,Inside,SawyerW,Norm,Norm,Duplex,1Story,Gable,CompShg,HdBoard,HdBoard,Slab,GasA,SBrkr,Attchd,WD,Alloca,118964
103,1,740,2452,0.0,0,0,0,0,0,10402,RL,Pave,Lvl,AllPub,Corner,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,PConc,GasA,SBrkr,Attchd,WD,Normal,198900
104,57,240,2858,600.0,0,224,592,0,0,7758,RM,Pave,Lvl,AllPub,Corner,IDOTRR,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,Stucco,Stucco,PConc,GasA,FuseF,Detchd,WD,Normal,169500
105,4,648,3045,768.0,140,0,939,0,0,9375,FV,Pave,Lvl,AllPub,Inside,Somerst,Norm,Norm,1Fam,2Story,Hip,CompShg,VinylSd,VinylSd,PConc,GasA,SBrkr,Attchd,WD,Normal,250000
106,12,273,1688,0.0,0,0,0,0,450,10800,RM,Pave,Lvl,AllPub,Inside,OldTown,Norm,Norm,1Fam,1Story,Mansard,CompShg,VinylSd,VinylSd,BrkTil,GasA,SBrkr,Detchd,WD,Normal,100000
107,58,250,1578,0.0,0,104,0,169,0,6000,RM,Pave,Lvl,AllPub,Inside,OldTown,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,CBlock,GasA,SBrkr,Detchd,WD,Partial,115000
108,2,0,2310,0.0,0,0,520,0,0,8500,RM,Pave,Lvl,AllPub,Corner,IDOTRR,Artery,Norm,1Fam,1.5Fin,Gable,CompShg,CemntBd,CmentBd,CBlock,GasW,FuseF,,WD,Normal,115000
109,33,546,3688,480.0,0,705,0,0,0,11751,RL,Pave,Lvl,AllPub,Inside,NWAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,Plywood,Plywood,CBlock,GasA,SBrkr,Attchd,COD,Normal,190000
110,34,325,2849,0.0,182,444,639,0,0,9525,RL,Pave,Lvl,AllPub,Inside,Edwards,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,Wd Sdng,Wd Sdng,CBlock,GasA,SBrkr,Attchd,WD,Normal,136900
